+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.128%    |
| Final balance               | 2913.39   |
| Final equity                | 1574.34   |
| Net PNL + fees              | 1913.39   |
| Total gain                  | 199.5%    |
| Average daily gain          | 0.135%    |
| DG mean std ratio           | 0.03345   |
| Price action distance mean  | 0.534656  |
| Price action distance std   | 0.419675  |
| Price action distance max   | 2.26753   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.372     |
| Equity/balance ratio std    | 0.1731    |
| No. fills                   | 21314     |
| No. entries                 | 18110     |
| No. closes                  | 3204      |
| No. initial entries         | 2129      |
| No. reentries               | 15981     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3204      |
| Average n fills per day     | 23.2      |
| Mean hours stuck            | 3.71519   |
| Max hours stuck             | 10464.0   |
| PNL sum                     | 1995.0    |
| Profit sum                  | 1995.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -81.64    |
| Biggest pos size            | 47953.0   |
| Biggest pos cost            | 2638.0    |
| Volume quote                | 816444.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0103%   |
| Final balance               | 1008.69   |
| Final equity                | 1008.66   |
| Net PNL + fees              | 8.68614   |
| Total gain                  | 0.9465%   |
| Average daily gain          | 0.0015%   |
| DG mean std ratio           | 0.004467  |
| Price action distance mean  | 0.0479271 |
| Price action distance std   | 0.0845435 |
| Price action distance max   | 0.558442  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8849    |
| Equity/balance ratio std    | 0.01257   |
| No. fills                   | 5935      |
| No. entries                 | 3287      |
| No. closes                  | 2648      |
| No. initial entries         | 2529      |
| No. reentries               | 755       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 53        |
| No. normal closes           | 2595      |
| Average n fills per day     | 6.45      |
| Mean hours stuck            | 5.3716    |
| Max hours stuck             | 428.5     |
| PNL sum                     | 9.465     |
| Profit sum                  | 19.45     |
| Loss sum                    | -9.99     |
| Fee sum                     | -0.7786   |
| Biggest pos size            | 4061.0    |
| Biggest pos cost            | 91.88     |
| Volume quote                | 7786.49   |
+-----------------------------+-----------+
