+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | LTCUSDT  |
| No. days                    | 925.66   |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0221%  |
| Final balance               | 1107.63  |
| Final equity                | 743.035  |
| Net PNL + fees              | 107.625  |
| Total gain                  | 12.7%    |
| Average daily gain          | -0.0213% |
| DG mean std ratio           | -0.01471 |
| Price action distance mean  | 0.351352 |
| Price action distance std   | 0.637514 |
| Price action distance max   | 3.61956  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6311   |
| Equity/balance ratio std    | 0.1023   |
| No. fills                   | 11355    |
| No. entries                 | 6025     |
| No. closes                  | 5330     |
| No. initial entries         | 5263     |
| No. reentries               | 744      |
| No. unstuck entries         | 18       |
| No. unstuck closes          | 58       |
| No. normal closes           | 5272     |
| Average n fills per day     | 12.3     |
| Mean hours stuck            | 5.39875  |
| Max hours stuck             | 5387.78  |
| PNL sum                     | 127.0    |
| Profit sum                  | 353.9    |
| Loss sum                    | -227.0   |
| Fee sum                     | -19.34   |
| Biggest pos size            | 12.3     |
| Biggest pos cost            | 680.9    |
| Volume quote                | 193377.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0473%  |
| Final balance               | 1244.55  |
| Final equity                | 1244.51  |
| Net PNL + fees              | 244.547  |
| Total gain                  | 25.88%   |
| Average daily gain          | 0.0451%  |
| DG mean std ratio           | 0.02151  |
| Price action distance mean  | 0.062675 |
| Price action distance std   | 0.088547 |
| Price action distance max   | 0.529854 |
| Closest bankruptcy          | 48.51%   |
| Lowest equity/balance ratio | 0.4798   |
| Equity/balance ratio std    | 0.06598  |
| No. fills                   | 10421    |
| No. entries                 | 5819     |
| No. closes                  | 4602     |
| No. initial entries         | 4536     |
| No. reentries               | 1281     |
| No. unstuck entries         | 2        |
| No. unstuck closes          | 20       |
| No. normal closes           | 4582     |
| Average n fills per day     | 11.3     |
| Mean hours stuck            | 5.63711  |
| Max hours stuck             | 2683.45  |
| PNL sum                     | 258.8    |
| Profit sum                  | 313.8    |
| Loss sum                    | -55.0    |
| Fee sum                     | -14.24   |
| Biggest pos size            | 8.5      |
| Biggest pos cost            | 611.0    |
| Volume quote                | 142409.0 |
+-----------------------------+----------+
