+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0658%   |
| Final balance               | 1341.91   |
| Final equity                | 1341.33   |
| Net PNL + fees              | 341.907   |
| Total gain                  | 38.18%    |
| Average daily gain          | 0.0363%   |
| DG mean std ratio           | 0.04444   |
| Price action distance mean  | 0.0121418 |
| Price action distance std   | 0.0177229 |
| Price action distance max   | 0.994795  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7507    |
| Equity/balance ratio std    | 0.005328  |
| No. fills                   | 34141     |
| No. entries                 | 21305     |
| No. closes                  | 12836     |
| No. initial entries         | 10333     |
| No. reentries               | 10829     |
| No. unstuck entries         | 143       |
| No. unstuck closes          | 1583      |
| No. normal closes           | 11253     |
| Average n fills per day     | 38.2      |
| Mean hours stuck            | 1.283     |
| Max hours stuck             | 132.717   |
| PNL sum                     | 381.8     |
| Profit sum                  | 985.1     |
| Loss sum                    | -603.2    |
| Fee sum                     | -39.93    |
| Biggest pos size            | 48.65     |
| Biggest pos cost            | 747.3     |
| Volume quote                | 399345.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -916.591  |
| Total gain                  | -91.45%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.04926  |
| Price action distance mean  | 0.0353135 |
| Price action distance std   | 0.0908814 |
| Price action distance max   | 0.646     |
| Closest bankruptcy          | 5.932%    |
| Lowest equity/balance ratio | 0.08765   |
| Equity/balance ratio std    | 0.06368   |
| No. fills                   | 2278      |
| No. entries                 | 1355      |
| No. closes                  | 922       |
| No. initial entries         | 900       |
| No. reentries               | 454       |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 19        |
| No. normal closes           | 903       |
| Average n fills per day     | 2.55      |
| Mean hours stuck            | 12.256    |
| Max hours stuck             | 12485.2   |
| PNL sum                     | -914.5    |
| Profit sum                  | 65.81     |
| Loss sum                    | -980.3    |
| Fee sum                     | -2.133    |
| Biggest pos size            | 39.59     |
| Biggest pos cost            | 531.4     |
| Volume quote                | 20831.8   |
+-----------------------------+-----------+
