+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 667.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.158%    |
| Final balance               | 2604.59   |
| Final equity                | 2600.78   |
| Net PNL + fees              | 1604.59   |
| Total gain                  | 165.5%    |
| Average daily gain          | 0.168%    |
| DG mean std ratio           | 0.07538   |
| Price action distance mean  | 0.0719686 |
| Price action distance std   | 0.130083  |
| Price action distance max   | 0.868158  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.578     |
| Equity/balance ratio std    | 0.06977   |
| No. fills                   | 15002     |
| No. entries                 | 9577      |
| No. closes                  | 5425      |
| No. initial entries         | 4947      |
| No. reentries               | 4630      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5425      |
| Average n fills per day     | 22.5      |
| Mean hours stuck            | 1.17116   |
| Max hours stuck             | 2013.73   |
| PNL sum                     | 1655.0    |
| Profit sum                  | 1655.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -50.79    |
| Biggest pos size            | 317.8     |
| Biggest pos cost            | 2345.0    |
| Volume quote                | 507912.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0776%   |
| Final balance               | 1048.25   |
| Final equity                | 1048.25   |
| Net PNL + fees              | 48.2469   |
| Total gain                  | 4.934%    |
| Average daily gain          | 0.0126%   |
| DG mean std ratio           | 0.012     |
| Price action distance mean  | 0.398673  |
| Price action distance std   | 0.300801  |
| Price action distance max   | 0.813514  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.715     |
| Equity/balance ratio std    | 0.06692   |
| No. fills                   | 3851      |
| No. entries                 | 2399      |
| No. closes                  | 1452      |
| No. initial entries         | 1226      |
| No. reentries               | 1173      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1452      |
| Average n fills per day     | 5.77      |
| Mean hours stuck            | 5.02194   |
| Max hours stuck             | 6373.43   |
| PNL sum                     | 49.34     |
| Profit sum                  | 49.34     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.096    |
| Biggest pos size            | 14.6      |
| Biggest pos cost            | 101.2     |
| Volume quote                | 10961.2   |
+-----------------------------+-----------+
