+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 676.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.216%    |
| Final balance               | 3774.15   |
| Final equity                | 3774.15   |
| Net PNL + fees              | 2774.15   |
| Total gain                  | 283.3%    |
| Average daily gain          | 0.202%    |
| DG mean std ratio           | 0.2005    |
| Price action distance mean  | 0.0154377 |
| Price action distance std   | 0.0276978 |
| Price action distance max   | 0.470948  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7083    |
| Equity/balance ratio std    | 0.007138  |
| No. fills                   | 6387      |
| No. entries                 | 4413      |
| No. closes                  | 1974      |
| No. initial entries         | 1726      |
| No. reentries               | 2687      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1974      |
| Average n fills per day     | 9.44      |
| Mean hours stuck            | 3.17952   |
| Max hours stuck             | 363.283   |
| PNL sum                     | 2833.0    |
| Profit sum                  | 2833.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -58.76    |
| Biggest pos size            | 894.8     |
| Biggest pos cost            | 3065.0    |
| Volume quote                | 587608.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.109%    |
| Final balance               | 1069.39   |
| Final equity                | 1069.39   |
| Net PNL + fees              | 69.3878   |
| Total gain                  | 6.987%    |
| Average daily gain          | 0.0166%   |
| DG mean std ratio           | 0.01437   |
| Price action distance mean  | 0.505352  |
| Price action distance std   | 0.202329  |
| Price action distance max   | 0.795789  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6492    |
| Equity/balance ratio std    | 0.08747   |
| No. fills                   | 344       |
| No. entries                 | 148       |
| No. closes                  | 196       |
| No. initial entries         | 57        |
| No. reentries               | 90        |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 0         |
| No. normal closes           | 196       |
| Average n fills per day     | 0.508     |
| Mean hours stuck            | 70.3073   |
| Max hours stuck             | 6444.22   |
| PNL sum                     | 69.87     |
| Profit sum                  | 69.87     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.4827   |
| Biggest pos size            | 54.6      |
| Biggest pos cost            | 95.67     |
| Volume quote                | 4827.24   |
+-----------------------------+-----------+
