+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0809%   |
| Final balance               | 1450.26   |
| Final equity                | 1449.92   |
| Net PNL + fees              | 450.26    |
| Total gain                  | 47.93%    |
| Average daily gain          | 0.0449%   |
| DG mean std ratio           | 0.04849   |
| Price action distance mean  | 0.0202529 |
| Price action distance std   | 0.0355937 |
| Price action distance max   | 1.0203    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7475    |
| Equity/balance ratio std    | 0.01163   |
| No. fills                   | 27884     |
| No. entries                 | 15577     |
| No. closes                  | 12307     |
| No. initial entries         | 11534     |
| No. reentries               | 4041      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 590       |
| No. normal closes           | 11717     |
| Average n fills per day     | 30.3      |
| Mean hours stuck            | 1.65036   |
| Max hours stuck             | 451.4     |
| PNL sum                     | 479.3     |
| Profit sum                  | 505.5     |
| Loss sum                    | -26.22    |
| Fee sum                     | -29.06    |
| Biggest pos size            | 40306.0   |
| Biggest pos cost            | 717.4     |
| Volume quote                | 290624.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.026%    |
| Final balance               | 1127.22   |
| Final equity                | 1127.18   |
| Net PNL + fees              | 127.218   |
| Total gain                  | 13.79%    |
| Average daily gain          | 0.0766%   |
| DG mean std ratio           | 0.02151   |
| Price action distance mean  | 0.0468985 |
| Price action distance std   | 0.0979513 |
| Price action distance max   | 0.61786   |
| Closest bankruptcy          | 14.53%    |
| Lowest equity/balance ratio | 0.1915    |
| Equity/balance ratio std    | 0.09311   |
| No. fills                   | 13266     |
| No. entries                 | 7085      |
| No. closes                  | 6181      |
| No. initial entries         | 5966      |
| No. reentries               | 1119      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 29        |
| No. normal closes           | 6152      |
| Average n fills per day     | 14.4      |
| Mean hours stuck            | 4.83291   |
| Max hours stuck             | 596.467   |
| PNL sum                     | 137.9     |
| Profit sum                  | 187.5     |
| Loss sum                    | -49.56    |
| Fee sum                     | -10.68    |
| Biggest pos size            | 57809.0   |
| Biggest pos cost            | 547.3     |
| Volume quote                | 106834.0  |
+-----------------------------+-----------+
