+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | UNIUSDT  |
| No. days                    | 672.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.196%   |
| Final balance               | 1935.38  |
| Final equity                | 1173.47  |
| Net PNL + fees              | 935.378  |
| Total gain                  | 97.91%   |
| Average daily gain          | 0.0399%  |
| DG mean std ratio           | 0.02063  |
| Price action distance mean  | 1.11242  |
| Price action distance std   | 1.64588  |
| Price action distance max   | 8.40632  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.5495   |
| Equity/balance ratio std    | 0.154    |
| No. fills                   | 27444    |
| No. entries                 | 17299    |
| No. closes                  | 10145    |
| No. initial entries         | 9548     |
| No. reentries               | 7751     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 10145    |
| Average n fills per day     | 40.8     |
| Mean hours stuck            | 1.34039  |
| Max hours stuck             | 10315.5  |
| PNL sum                     | 979.1    |
| Profit sum                  | 979.1    |
| Loss sum                    | 0.0      |
| Fee sum                     | -43.72   |
| Biggest pos size            | 209.4    |
| Biggest pos cost            | 975.7    |
| Volume quote                | 437175.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -4.07%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -901.975 |
| Total gain                  | -89.46%  |
| Average daily gain          | -0.682%  |
| DG mean std ratio           | -0.0486  |
| Price action distance mean  | 0.260873 |
| Price action distance std   | 0.216306 |
| Price action distance max   | 0.645646 |
| Closest bankruptcy          | 5.961%   |
| Lowest equity/balance ratio | 0.08958  |
| Equity/balance ratio std    | 0.1182   |
| No. fills                   | 5142     |
| No. entries                 | 3825     |
| No. closes                  | 1316     |
| No. initial entries         | 1173     |
| No. reentries               | 2652     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1316     |
| Average n fills per day     | 7.64     |
| Mean hours stuck            | 5.82012  |
| Max hours stuck             | 13558.7  |
| PNL sum                     | -894.6   |
| Profit sum                  | 169.9    |
| Loss sum                    | -1064.0  |
| Fee sum                     | -7.349   |
| Biggest pos size            | 289.8    |
| Biggest pos cost            | 580.9    |
| Volume quote                | 72912.3  |
+-----------------------------+----------+
