+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 667.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.148%    |
| Final balance               | 2455.3    |
| Final equity                | 2454.08   |
| Net PNL + fees              | 1455.3    |
| Total gain                  | 147.4%    |
| Average daily gain          | 0.139%    |
| DG mean std ratio           | 0.1385    |
| Price action distance mean  | 0.0225806 |
| Price action distance std   | 0.0242438 |
| Price action distance max   | 0.264307  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8104    |
| Equity/balance ratio std    | 0.009844  |
| No. fills                   | 3971      |
| No. entries                 | 2136      |
| No. closes                  | 1835      |
| No. initial entries         | 1555      |
| No. reentries               | 581       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1835      |
| Average n fills per day     | 5.95      |
| Mean hours stuck            | 5.52396   |
| Max hours stuck             | 125.7     |
| PNL sum                     | 1474.0    |
| Profit sum                  | 1474.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -18.76    |
| Biggest pos size            | 132.6     |
| Biggest pos cost            | 2155.0    |
| Volume quote                | 187627.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -22.5%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -937.856  |
| Total gain                  | -93.78%   |
| Average daily gain          | -0.687%   |
| DG mean std ratio           | -0.01508  |
| Price action distance mean  | 0.50027   |
| Price action distance std   | 0.338794  |
| Price action distance max   | 0.912173  |
| Closest bankruptcy          | 5.981%    |
| Lowest equity/balance ratio | 0.0622    |
| Equity/balance ratio std    | 0.1897    |
| No. fills                   | 319       |
| No. entries                 | 198       |
| No. closes                  | 120       |
| No. initial entries         | 103       |
| No. reentries               | 95        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 120       |
| Average n fills per day     | 0.478     |
| Mean hours stuck            | 88.5359   |
| Max hours stuck             | 7528.98   |
| PNL sum                     | -937.8    |
| Profit sum                  | 10.27     |
| Loss sum                    | -948.0    |
| Fee sum                     | -0.09411  |
| Biggest pos size            | 20.5      |
| Biggest pos cost            | 91.39     |
| Volume quote                | 849.858   |
+-----------------------------+-----------+
