+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0441%   |
| Final balance               | 1224.91   |
| Final equity                | 1224.4    |
| Net PNL + fees              | 224.91    |
| Total gain                  | 26.86%    |
| Average daily gain          | 0.0298%   |
| DG mean std ratio           | 0.0244    |
| Price action distance mean  | 0.0511047 |
| Price action distance std   | 0.116826  |
| Price action distance max   | 1.16602   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7308    |
| Equity/balance ratio std    | 0.0348    |
| No. fills                   | 49226     |
| No. entries                 | 29937     |
| No. closes                  | 19289     |
| No. initial entries         | 18590     |
| No. reentries               | 11342     |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 700       |
| No. normal closes           | 18589     |
| Average n fills per day     | 53.5      |
| Mean hours stuck            | 0.878554  |
| Max hours stuck             | 642.35    |
| PNL sum                     | 268.6     |
| Profit sum                  | 460.6     |
| Loss sum                    | -192.0    |
| Fee sum                     | -43.69    |
| Biggest pos size            | 40016.0   |
| Biggest pos cost            | 610.1     |
| Volume quote                | 436870.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0511%   |
| Final balance               | 1264.62   |
| Final equity                | 1264.35   |
| Net PNL + fees              | 264.621   |
| Total gain                  | 28.06%    |
| Average daily gain          | 0.0273%   |
| DG mean std ratio           | 0.04479   |
| Price action distance mean  | 0.0265488 |
| Price action distance std   | 0.0190057 |
| Price action distance max   | 0.228426  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.852     |
| Equity/balance ratio std    | 0.005453  |
| No. fills                   | 19809     |
| No. entries                 | 11221     |
| No. closes                  | 8588      |
| No. initial entries         | 8589      |
| No. reentries               | 2632      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 8588      |
| Average n fills per day     | 21.5      |
| Mean hours stuck            | 3.03853   |
| Max hours stuck             | 185.267   |
| PNL sum                     | 280.6     |
| Profit sum                  | 280.6     |
| Loss sum                    | 0.0       |
| Fee sum                     | -15.95    |
| Biggest pos size            | 57934.0   |
| Biggest pos cost            | 604.5     |
| Volume quote                | 159458.0  |
+-----------------------------+-----------+
