+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.144%    |
| Final balance               | 3218.95   |
| Final equity                | 3217.21   |
| Net PNL + fees              | 2218.95   |
| Total gain                  | 224.8%    |
| Average daily gain          | 0.151%    |
| DG mean std ratio           | 0.07804   |
| Price action distance mean  | 0.0318106 |
| Price action distance std   | 0.0612481 |
| Price action distance max   | 1.46444   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.46      |
| Equity/balance ratio std    | 0.03804   |
| No. fills                   | 5100      |
| No. entries                 | 2905      |
| No. closes                  | 2195      |
| No. initial entries         | 1414      |
| No. reentries               | 1491      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2195      |
| Average n fills per day     | 5.71      |
| Mean hours stuck            | 7.51769   |
| Max hours stuck             | 613.783   |
| PNL sum                     | 2248.0    |
| Profit sum                  | 2248.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -28.66    |
| Biggest pos size            | 60.87     |
| Biggest pos cost            | 2816.0    |
| Volume quote                | 286639.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -16.9%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -935.171  |
| Total gain                  | -93.35%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.05237  |
| Price action distance mean  | 0.0735745 |
| Price action distance std   | 0.16186   |
| Price action distance max   | 0.909639  |
| Closest bankruptcy          | 5.984%    |
| Lowest equity/balance ratio | 0.0815    |
| Equity/balance ratio std    | 0.04048   |
| No. fills                   | 4397      |
| No. entries                 | 2725      |
| No. closes                  | 1671      |
| No. initial entries         | 1642      |
| No. reentries               | 1083      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1671      |
| Average n fills per day     | 4.92      |
| Mean hours stuck            | 10.2967   |
| Max hours stuck             | 12441.1   |
| PNL sum                     | -933.5    |
| Profit sum                  | 54.11     |
| Loss sum                    | -987.6    |
| Fee sum                     | -1.708    |
| Biggest pos size            | 8.19      |
| Biggest pos cost            | 96.02     |
| Volume quote                | 16987.7   |
+-----------------------------+-----------+
