+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | XRPUSDT  |
| No. days                    | 928.652  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.157%   |
| Final balance               | 3750.06  |
| Final equity                | 2315.78  |
| Net PNL + fees              | 2750.06  |
| Total gain                  | 277.5%   |
| Average daily gain          | 0.145%   |
| DG mean std ratio           | 0.04351  |
| Price action distance mean  | 0.116777 |
| Price action distance std   | 0.22645  |
| Price action distance max   | 1.53549  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.4497   |
| Equity/balance ratio std    | 0.1214   |
| No. fills                   | 2624     |
| No. entries                 | 1584     |
| No. closes                  | 1040     |
| No. initial entries         | 903      |
| No. reentries               | 681      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 1040     |
| Average n fills per day     | 2.83     |
| Mean hours stuck            | 12.9054  |
| Max hours stuck             | 1789.23  |
| PNL sum                     | 2775.0   |
| Profit sum                  | 2775.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -24.55   |
| Biggest pos size            | 5521.0   |
| Biggest pos cost            | 3409.0   |
| Volume quote                | 245530.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0439%  |
| Final balance               | 1037.75  |
| Final equity                | 1037.68  |
| Net PNL + fees              | 37.7498  |
| Total gain                  | 3.815%   |
| Average daily gain          | 0.00636% |
| DG mean std ratio           | 0.009212 |
| Price action distance mean  | 0.113706 |
| Price action distance std   | 0.16182  |
| Price action distance max   | 0.621339 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.8517   |
| Equity/balance ratio std    | 0.02677  |
| No. fills                   | 1655     |
| No. entries                 | 1029     |
| No. closes                  | 626      |
| No. initial entries         | 547      |
| No. reentries               | 482      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 626      |
| Average n fills per day     | 1.78     |
| Mean hours stuck            | 18.4195  |
| Max hours stuck             | 3093.78  |
| PNL sum                     | 38.15    |
| Profit sum                  | 38.15    |
| Loss sum                    | 0.0      |
| Fee sum                     | -0.4016  |
| Biggest pos size            | 374.0    |
| Biggest pos cost            | 94.47    |
| Volume quote                | 4016.35  |
+-----------------------------+----------+
