+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 676.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.103%    |
| Final balance               | 1415.77   |
| Final equity                | 915.25    |
| Net PNL + fees              | 415.766   |
| Total gain                  | 43.33%    |
| Average daily gain          | -0.00685% |
| DG mean std ratio           | -0.006159 |
| Price action distance mean  | 0.529865  |
| Price action distance std   | 0.983083  |
| Price action distance max   | 4.77408   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5989    |
| Equity/balance ratio std    | 0.118     |
| No. fills                   | 13955     |
| No. entries                 | 8041      |
| No. closes                  | 5914      |
| No. initial entries         | 5796      |
| No. reentries               | 2244      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5914      |
| Average n fills per day     | 20.6      |
| Mean hours stuck            | 2.07925   |
| Max hours stuck             | 4392.13   |
| PNL sum                     | 433.3     |
| Profit sum                  | 433.3     |
| Loss sum                    | 0.0       |
| Fee sum                     | -17.52    |
| Biggest pos size            | 214.5     |
| Biggest pos cost            | 686.9     |
| Volume quote                | 175197.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.04%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -912.306  |
| Total gain                  | -90.93%   |
| Average daily gain          | -0.678%   |
| DG mean std ratio           | -0.07381  |
| Price action distance mean  | 0.0791871 |
| Price action distance std   | 0.124404  |
| Price action distance max   | 0.646829  |
| Closest bankruptcy          | 5.867%    |
| Lowest equity/balance ratio | 0.09471   |
| Equity/balance ratio std    | 0.06563   |
| No. fills                   | 3077      |
| No. entries                 | 1731      |
| No. closes                  | 1345      |
| No. initial entries         | 1289      |
| No. reentries               | 442       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 45        |
| No. normal closes           | 1300      |
| Average n fills per day     | 4.55      |
| Mean hours stuck            | 16.4383   |
| Max hours stuck             | 12648.0   |
| PNL sum                     | -909.3    |
| Profit sum                  | 89.75     |
| Loss sum                    | -999.1    |
| Fee sum                     | -2.994    |
| Biggest pos size            | 287.2     |
| Biggest pos cost            | 541.6     |
| Volume quote                | 29420.4   |
+-----------------------------+-----------+
