+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | SOLUSDT  |
| No. days                    | 676.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.168%   |
| Final balance               | 1765.14  |
| Final equity                | 1050.58  |
| Net PNL + fees              | 765.138  |
| Total gain                  | 80.84%   |
| Average daily gain          | 0.0138%  |
| DG mean std ratio           | 0.01199  |
| Price action distance mean  | 0.97025  |
| Price action distance std   | 1.56544  |
| Price action distance max   | 7.1455   |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.5603   |
| Equity/balance ratio std    | 0.1462   |
| No. fills                   | 21948    |
| No. entries                 | 12195    |
| No. closes                  | 9753     |
| No. initial entries         | 9627     |
| No. reentries               | 2568     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 9753     |
| Average n fills per day     | 32.4     |
| Mean hours stuck            | 0.929864 |
| Max hours stuck             | 5542.97  |
| PNL sum                     | 808.4    |
| Profit sum                  | 808.4    |
| Loss sum                    | 0.0      |
| Fee sum                     | -43.31   |
| Biggest pos size            | 416.3    |
| Biggest pos cost            | 923.2    |
| Volume quote                | 433106.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -4.04%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -909.743 |
| Total gain                  | -90.72%  |
| Average daily gain          | -0.678%  |
| DG mean std ratio           | -0.05603 |
| Price action distance mean  | 0.168505 |
| Price action distance std   | 0.160209 |
| Price action distance max   | 0.644716 |
| Closest bankruptcy          | 5.93%    |
| Lowest equity/balance ratio | 0.09358  |
| Equity/balance ratio std    | 0.08137  |
| No. fills                   | 1934     |
| No. entries                 | 1153     |
| No. closes                  | 780      |
| No. initial entries         | 772      |
| No. reentries               | 381      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 780      |
| Average n fills per day     | 2.86     |
| Mean hours stuck            | 13.5568  |
| Max hours stuck             | 12713.8  |
| PNL sum                     | -907.2   |
| Profit sum                  | 78.45    |
| Loss sum                    | -985.6   |
| Fee sum                     | -2.593   |
| Biggest pos size            | 324.5    |
| Biggest pos cost            | 537.7    |
| Volume quote                | 25396.4  |
+-----------------------------+----------+
