+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 928.652   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.114%    |
| Final balance               | 1699.61   |
| Final equity                | 1699.27   |
| Net PNL + fees              | 699.615   |
| Total gain                  | 73.01%    |
| Average daily gain          | 0.0614%   |
| DG mean std ratio           | 0.06634   |
| Price action distance mean  | 0.0263472 |
| Price action distance std   | 0.0497009 |
| Price action distance max   | 0.998564  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7501    |
| Equity/balance ratio std    | 0.01876   |
| No. fills                   | 25854     |
| No. entries                 | 14922     |
| No. closes                  | 10932     |
| No. initial entries         | 10775     |
| No. reentries               | 4144      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 100       |
| No. normal closes           | 10832     |
| Average n fills per day     | 27.8      |
| Mean hours stuck            | 2.8541    |
| Max hours stuck             | 437.233   |
| PNL sum                     | 730.1     |
| Profit sum                  | 755.9     |
| Loss sum                    | -25.79    |
| Fee sum                     | -30.53    |
| Biggest pos size            | 2515.0    |
| Biggest pos cost            | 801.6     |
| Volume quote                | 305293.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.95%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -922.146  |
| Total gain                  | -91.58%   |
| Average daily gain          | -0.495%   |
| DG mean std ratio           | -0.03305  |
| Price action distance mean  | 0.127088  |
| Price action distance std   | 0.134737  |
| Price action distance max   | 0.643181  |
| Closest bankruptcy          | 5.991%    |
| Lowest equity/balance ratio | 0.09934   |
| Equity/balance ratio std    | 0.09532   |
| No. fills                   | 6862      |
| No. entries                 | 5388      |
| No. closes                  | 1473      |
| No. initial entries         | 925       |
| No. reentries               | 4444      |
| No. unstuck entries         | 19        |
| No. unstuck closes          | 543       |
| No. normal closes           | 930       |
| Average n fills per day     | 7.39      |
| Mean hours stuck            | 5.86054   |
| Max hours stuck             | 11342.0   |
| PNL sum                     | -915.8    |
| Profit sum                  | 188.6     |
| Loss sum                    | -1104.0   |
| Fee sum                     | -6.388    |
| Biggest pos size            | 2712.0    |
| Biggest pos cost            | 532.9     |
| Volume quote                | 63423.2   |
+-----------------------------+-----------+
