+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 742.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.18%     |
| Final balance               | 1953.4    |
| Final equity                | 1653.28   |
| Net PNL + fees              | 953.401   |
| Total gain                  | 99.76%    |
| Average daily gain          | 0.0721%   |
| DG mean std ratio           | 0.07407   |
| Price action distance mean  | 0.104823  |
| Price action distance std   | 0.226486  |
| Price action distance max   | 1.50515   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7665    |
| Equity/balance ratio std    | 0.04235   |
| No. fills                   | 28015     |
| No. entries                 | 16573     |
| No. closes                  | 11442     |
| No. initial entries         | 11089     |
| No. reentries               | 5471      |
| No. unstuck entries         | 13        |
| No. unstuck closes          | 181       |
| No. normal closes           | 11261     |
| Average n fills per day     | 37.7      |
| Mean hours stuck            | 1.49912   |
| Max hours stuck             | 1352.47   |
| PNL sum                     | 997.6     |
| Profit sum                  | 1186.0    |
| Loss sum                    | -188.0    |
| Fee sum                     | -44.16    |
| Biggest pos size            | 120319.0  |
| Biggest pos cost            | 1031.0    |
| Volume quote                | 441573.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.69%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -924.536  |
| Total gain                  | -92.34%   |
| Average daily gain          | -0.618%   |
| DG mean std ratio           | -0.03404  |
| Price action distance mean  | 0.0258419 |
| Price action distance std   | 0.061756  |
| Price action distance max   | 0.635645  |
| Closest bankruptcy          | 5.764%    |
| Lowest equity/balance ratio | 0.1277    |
| Equity/balance ratio std    | 0.02633   |
| No. fills                   | 1530      |
| No. entries                 | 378       |
| No. closes                  | 1151      |
| No. initial entries         | 218       |
| No. reentries               | 158       |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 934       |
| No. normal closes           | 217       |
| Average n fills per day     | 2.06      |
| Mean hours stuck            | 32.3466   |
| Max hours stuck             | 12960.9   |
| PNL sum                     | -923.4    |
| Profit sum                  | 67.87     |
| Loss sum                    | -991.3    |
| Fee sum                     | -1.116    |
| Biggest pos size            | 86273.0   |
| Biggest pos cost            | 526.7     |
| Volume quote                | 10702.7   |
+-----------------------------+-----------+
