+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 928.652   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.184%    |
| Final balance               | 4714.45   |
| Final equity                | 3288.2    |
| Net PNL + fees              | 3714.45   |
| Total gain                  | 391.7%    |
| Average daily gain          | 0.192%    |
| DG mean std ratio           | 0.0554    |
| Price action distance mean  | 0.140533  |
| Price action distance std   | 0.184374  |
| Price action distance max   | 1.42547   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4658    |
| Equity/balance ratio std    | 0.113     |
| No. fills                   | 36771     |
| No. entries                 | 21787     |
| No. closes                  | 14984     |
| No. initial entries         | 13720     |
| No. reentries               | 8067      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 14984     |
| Average n fills per day     | 39.6      |
| Mean hours stuck            | 1.52332   |
| Max hours stuck             | 3758.72   |
| PNL sum                     | 3917.0    |
| Profit sum                  | 3917.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -202.7    |
| Biggest pos size            | 8001.0    |
| Biggest pos cost            | 4287.0    |
| Volume quote                | 2027300.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.114%    |
| Final balance               | 1101.15   |
| Final equity                | 1101.15   |
| Net PNL + fees              | 101.153   |
| Total gain                  | 10.69%    |
| Average daily gain          | 0.0137%   |
| DG mean std ratio           | 0.01672   |
| Price action distance mean  | 0.128815  |
| Price action distance std   | 0.186932  |
| Price action distance max   | 0.675694  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8095    |
| Equity/balance ratio std    | 0.0354    |
| No. fills                   | 32738     |
| No. entries                 | 24869     |
| No. closes                  | 7869      |
| No. initial entries         | 7737      |
| No. reentries               | 17132     |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7869      |
| Average n fills per day     | 35.3      |
| Mean hours stuck            | 1.25282   |
| Max hours stuck             | 3197.47   |
| PNL sum                     | 106.9     |
| Profit sum                  | 106.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -5.729    |
| Biggest pos size            | 567.0     |
| Biggest pos cost            | 99.42     |
| Volume quote                | 57291.6   |
+-----------------------------+-----------+
