+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 676.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.169%    |
| Final balance               | 1769.38   |
| Final equity                | 1763.59   |
| Net PNL + fees              | 769.379   |
| Total gain                  | 83.77%    |
| Average daily gain          | 0.0853%   |
| DG mean std ratio           | 0.154     |
| Price action distance mean  | 0.0143184 |
| Price action distance std   | 0.0134567 |
| Price action distance max   | 0.243989  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9017    |
| Equity/balance ratio std    | 0.003446  |
| No. fills                   | 34120     |
| No. entries                 | 17911     |
| No. closes                  | 16209     |
| No. initial entries         | 14654     |
| No. reentries               | 3130      |
| No. unstuck entries         | 127       |
| No. unstuck closes          | 277       |
| No. normal closes           | 15932     |
| Average n fills per day     | 50.4      |
| Mean hours stuck            | 2.2389    |
| Max hours stuck             | 87.15     |
| PNL sum                     | 837.7     |
| Profit sum                  | 1488.0    |
| Loss sum                    | -650.3    |
| Fee sum                     | -68.28    |
| Biggest pos size            | 424.4     |
| Biggest pos cost            | 903.8     |
| Volume quote                | 682829.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0364%   |
| Final balance               | 1130.9    |
| Final equity                | 1130.85   |
| Net PNL + fees              | 130.898   |
| Total gain                  | 14.16%    |
| Average daily gain          | 0.0212%   |
| DG mean std ratio           | 0.02697   |
| Price action distance mean  | 0.0365341 |
| Price action distance std   | 0.0283223 |
| Price action distance max   | 0.276323  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8091    |
| Equity/balance ratio std    | 0.01331   |
| No. fills                   | 10523     |
| No. entries                 | 5507      |
| No. closes                  | 5016      |
| No. initial entries         | 4820      |
| No. reentries               | 682       |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 25        |
| No. normal closes           | 4991      |
| Average n fills per day     | 15.6      |
| Mean hours stuck            | 6.53824   |
| Max hours stuck             | 150.0     |
| PNL sum                     | 141.6     |
| Profit sum                  | 270.3     |
| Loss sum                    | -128.7    |
| Fee sum                     | -10.65    |
| Biggest pos size            | 281.9     |
| Biggest pos cost            | 560.7     |
| Volume quote                | 106531.0  |
+-----------------------------+-----------+
