+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 638.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.23%     |
| Final balance               | 3789.95   |
| Final equity                | 3778.76   |
| Net PNL + fees              | 2789.95   |
| Total gain                  | 290.9%    |
| Average daily gain          | 0.221%    |
| DG mean std ratio           | 0.1391    |
| Price action distance mean  | 0.0258236 |
| Price action distance std   | 0.039479  |
| Price action distance max   | 0.548214  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6782    |
| Equity/balance ratio std    | 0.02665   |
| No. fills                   | 26595     |
| No. entries                 | 14729     |
| No. closes                  | 11866     |
| No. initial entries         | 11700     |
| No. reentries               | 3029      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11866     |
| Average n fills per day     | 41.6      |
| Mean hours stuck            | 1.69568   |
| Max hours stuck             | 233.4     |
| PNL sum                     | 2909.0    |
| Profit sum                  | 2909.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -118.8    |
| Biggest pos size            | 52649.0   |
| Biggest pos cost            | 3288.0    |
| Volume quote                | 1187900.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.026%    |
| Final balance               | 1015.22   |
| Final equity                | 820.644   |
| Net PNL + fees              | 15.2219   |
| Total gain                  | 1.578%    |
| Average daily gain          | 0.251%    |
| DG mean std ratio           | 0.03213   |
| Price action distance mean  | 0.565887  |
| Price action distance std   | 0.326101  |
| Price action distance max   | 0.906283  |
| Closest bankruptcy          | 12.06%    |
| Lowest equity/balance ratio | 0.1181    |
| Equity/balance ratio std    | 0.218     |
| No. fills                   | 3899      |
| No. entries                 | 2214      |
| No. closes                  | 1685      |
| No. initial entries         | 1686      |
| No. reentries               | 528       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1685      |
| Average n fills per day     | 6.1       |
| Mean hours stuck            | 11.6748   |
| Max hours stuck             | 12006.0   |
| PNL sum                     | 15.78     |
| Profit sum                  | 15.78     |
| Loss sum                    | 0.0       |
| Fee sum                     | -0.56     |
| Biggest pos size            | 5825.0    |
| Biggest pos cost            | 92.59     |
| Volume quote                | 5600.2    |
+-----------------------------+-----------+
