+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | AVAXUSDT |
| No. days                    | 667.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0473%  |
| Final balance               | 1171.08  |
| Final equity                | 962.274  |
| Net PNL + fees              | 171.083  |
| Total gain                  | 19.84%   |
| Average daily gain          | 0.00685% |
| DG mean std ratio           | 0.004353 |
| Price action distance mean  | 0.276853 |
| Price action distance std   | 0.480195 |
| Price action distance max   | 2.15892  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6585   |
| Equity/balance ratio std    | 0.1057   |
| No. fills                   | 27663    |
| No. entries                 | 14868    |
| No. closes                  | 12795    |
| No. initial entries         | 12184    |
| No. reentries               | 2661     |
| No. unstuck entries         | 23       |
| No. unstuck closes          | 91       |
| No. normal closes           | 12704    |
| Average n fills per day     | 41.4     |
| Mean hours stuck            | 2.3031   |
| Max hours stuck             | 323.417  |
| PNL sum                     | 198.4    |
| Profit sum                  | 472.7    |
| Loss sum                    | -274.4   |
| Fee sum                     | -27.28   |
| Biggest pos size            | 144.7    |
| Biggest pos cost            | 671.3    |
| Volume quote                | 272794.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -4.1%    |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -925.45  |
| Total gain                  | -91.9%   |
| Average daily gain          | -0.687%  |
| DG mean std ratio           | -0.05929 |
| Price action distance mean  | 0.129939 |
| Price action distance std   | 0.210713 |
| Price action distance max   | 0.645209 |
| Closest bankruptcy          | 5.983%   |
| Lowest equity/balance ratio | 0.08953  |
| Equity/balance ratio std    | 0.1135   |
| No. fills                   | 5703     |
| No. entries                 | 3197     |
| No. closes                  | 2505     |
| No. initial entries         | 2446     |
| No. reentries               | 746      |
| No. unstuck entries         | 5        |
| No. unstuck closes          | 60       |
| No. normal closes           | 2445     |
| Average n fills per day     | 8.54     |
| Mean hours stuck            | 7.59479  |
| Max hours stuck             | 12784.9  |
| PNL sum                     | -919.0   |
| Profit sum                  | 98.96    |
| Loss sum                    | -1018.0  |
| Fee sum                     | -6.459   |
| Biggest pos size            | 156.9    |
| Biggest pos cost            | 546.3    |
| Volume quote                | 64145.8  |
+-----------------------------+----------+
