+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 742.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.171%    |
| Final balance               | 3164.52   |
| Final equity                | 1848.93   |
| Net PNL + fees              | 2164.52   |
| Total gain                  | 228.0%    |
| Average daily gain          | 0.106%    |
| DG mean std ratio           | 0.04971   |
| Price action distance mean  | 0.109572  |
| Price action distance std   | 0.250602  |
| Price action distance max   | 1.60691   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4607    |
| Equity/balance ratio std    | 0.1149    |
| No. fills                   | 24404     |
| No. entries                 | 13080     |
| No. closes                  | 11324     |
| No. initial entries         | 11239     |
| No. reentries               | 1841      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 61        |
| No. normal closes           | 11263     |
| Average n fills per day     | 32.9      |
| Mean hours stuck            | 1.9148    |
| Max hours stuck             | 1344.4    |
| PNL sum                     | 2280.0    |
| Profit sum                  | 2344.0    |
| Loss sum                    | -64.08    |
| Fee sum                     | -115.4    |
| Biggest pos size            | 320126.0  |
| Biggest pos cost            | 2928.0    |
| Volume quote                | 1153810.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.3%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -940.496  |
| Total gain                  | -94.04%   |
| Average daily gain          | -0.618%   |
| DG mean std ratio           | -0.04022  |
| Price action distance mean  | 0.137117  |
| Price action distance std   | 0.229451  |
| Price action distance max   | 0.90941   |
| Closest bankruptcy          | 5.863%    |
| Lowest equity/balance ratio | 0.08736   |
| Equity/balance ratio std    | 0.03834   |
| No. fills                   | 415       |
| No. entries                 | 314       |
| No. closes                  | 100       |
| No. initial entries         | 71        |
| No. reentries               | 242       |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 30        |
| No. normal closes           | 70        |
| Average n fills per day     | 0.559     |
| Mean hours stuck            | 81.0136   |
| Max hours stuck             | 12960.2   |
| PNL sum                     | -940.4    |
| Profit sum                  | 7.879     |
| Loss sum                    | -948.3    |
| Fee sum                     | -0.1074   |
| Biggest pos size            | 30902.0   |
| Biggest pos cost            | 91.63     |
| Volume quote                | 983.992   |
+-----------------------------+-----------+
