+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 638.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.224%    |
| Final balance               | 3663.72   |
| Final equity                | 3650.57   |
| Net PNL + fees              | 2663.72   |
| Total gain                  | 282.4%    |
| Average daily gain          | 0.222%    |
| DG mean std ratio           | 0.1075    |
| Price action distance mean  | 0.0224219 |
| Price action distance std   | 0.0366908 |
| Price action distance max   | 0.775978  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6027    |
| Equity/balance ratio std    | 0.02361   |
| No. fills                   | 35946     |
| No. entries                 | 19022     |
| No. closes                  | 16924     |
| No. initial entries         | 16655     |
| No. reentries               | 2367      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 16924     |
| Average n fills per day     | 56.3      |
| Mean hours stuck            | 1.52923   |
| Max hours stuck             | 276.65    |
| PNL sum                     | 2824.0    |
| Profit sum                  | 2824.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -160.1    |
| Biggest pos size            | 50959.0   |
| Biggest pos cost            | 3115.0    |
| Volume quote                | 1600950.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -23.5%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -942.809  |
| Total gain                  | -94.28%   |
| Average daily gain          | -0.718%   |
| DG mean std ratio           | -0.07053  |
| Price action distance mean  | 0.383834  |
| Price action distance std   | 0.258773  |
| Price action distance max   | 0.913764  |
| Closest bankruptcy          | 5.874%    |
| Lowest equity/balance ratio | 0.06932   |
| Equity/balance ratio std    | 0.09162   |
| No. fills                   | 264       |
| No. entries                 | 181       |
| No. closes                  | 82        |
| No. initial entries         | 62        |
| No. reentries               | 119       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 21        |
| No. normal closes           | 61        |
| Average n fills per day     | 0.413     |
| Mean hours stuck            | 85.6368   |
| Max hours stuck             | 12433.0   |
| PNL sum                     | -942.8    |
| Profit sum                  | 1.561     |
| Loss sum                    | -944.3    |
| Fee sum                     | -0.05444  |
| Biggest pos size            | 6683.0    |
| Biggest pos cost            | 90.99     |
| Volume quote                | 461.184   |
+-----------------------------+-----------+
