+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0231%   |
| Final balance               | 1108.64   |
| Final equity                | 1108.48   |
| Net PNL + fees              | 108.643   |
| Total gain                  | 11.63%    |
| Average daily gain          | 0.015%    |
| DG mean std ratio           | 0.01881   |
| Price action distance mean  | 0.0224456 |
| Price action distance std   | 0.0522785 |
| Price action distance max   | 1.50931   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6993    |
| Equity/balance ratio std    | 0.01578   |
| No. fills                   | 10311     |
| No. entries                 | 5506      |
| No. closes                  | 4805      |
| No. initial entries         | 4752      |
| No. reentries               | 750       |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 19        |
| No. normal closes           | 4786      |
| Average n fills per day     | 11.5      |
| Mean hours stuck            | 6.52311   |
| Max hours stuck             | 335.667   |
| PNL sum                     | 116.3     |
| Profit sum                  | 190.9     |
| Loss sum                    | -74.53    |
| Fee sum                     | -7.685    |
| Biggest pos size            | 37.04     |
| Biggest pos cost            | 545.7     |
| Volume quote                | 76851.6   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -932.02   |
| Total gain                  | -93.04%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.05941  |
| Price action distance mean  | 0.0468318 |
| Price action distance std   | 0.0746545 |
| Price action distance max   | 0.643972  |
| Closest bankruptcy          | 5.913%    |
| Lowest equity/balance ratio | 0.09475   |
| Equity/balance ratio std    | 0.04573   |
| No. fills                   | 1852      |
| No. entries                 | 1005      |
| No. closes                  | 846       |
| No. initial entries         | 840       |
| No. reentries               | 163       |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 5         |
| No. normal closes           | 841       |
| Average n fills per day     | 2.07      |
| Mean hours stuck            | 32.4478   |
| Max hours stuck             | 12451.2   |
| PNL sum                     | -930.4    |
| Profit sum                  | 50.75     |
| Loss sum                    | -981.1    |
| Fee sum                     | -1.638    |
| Biggest pos size            | 21.8      |
| Biggest pos cost            | 524.5     |
| Volume quote                | 15976.7   |
+-----------------------------+-----------+
