+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0506%   |
| Final balance               | 1263.84   |
| Final equity                | 849.605   |
| Net PNL + fees              | 263.841   |
| Total gain                  | 30.21%    |
| Average daily gain          | -0.00855% |
| DG mean std ratio           | -0.006448 |
| Price action distance mean  | 0.373774  |
| Price action distance std   | 0.75091   |
| Price action distance max   | 4.1952    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6386    |
| Equity/balance ratio std    | 0.1032    |
| No. fills                   | 20210     |
| No. entries                 | 11929     |
| No. closes                  | 8281      |
| No. initial entries         | 8153      |
| No. reentries               | 3759      |
| No. unstuck entries         | 17        |
| No. unstuck closes          | 60        |
| No. normal closes           | 8221      |
| Average n fills per day     | 21.8      |
| Mean hours stuck            | 3.01969   |
| Max hours stuck             | 5475.88   |
| PNL sum                     | 302.1     |
| Profit sum                  | 664.0     |
| Loss sum                    | -361.9    |
| Fee sum                     | -38.24    |
| Biggest pos size            | 12.5      |
| Biggest pos cost            | 701.7     |
| Volume quote                | 382358.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.96%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -917.666  |
| Total gain                  | -91.42%   |
| Average daily gain          | -0.496%   |
| DG mean std ratio           | -0.05742  |
| Price action distance mean  | 0.117071  |
| Price action distance std   | 0.163352  |
| Price action distance max   | 0.667952  |
| Closest bankruptcy          | 5.994%    |
| Lowest equity/balance ratio | 0.08741   |
| Equity/balance ratio std    | 0.114     |
| No. fills                   | 3784      |
| No. entries                 | 2422      |
| No. closes                  | 1361      |
| No. initial entries         | 1342      |
| No. reentries               | 1078      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 14        |
| No. normal closes           | 1347      |
| Average n fills per day     | 4.09      |
| Mean hours stuck            | 11.7919   |
| Max hours stuck             | 11087.4   |
| PNL sum                     | -914.2    |
| Profit sum                  | 95.47     |
| Loss sum                    | -1010.0   |
| Fee sum                     | -3.502    |
| Biggest pos size            | 7.3       |
| Biggest pos cost            | 545.7     |
| Volume quote                | 34563.0   |
+-----------------------------+-----------+
