+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 699.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.125%    |
| Final balance               | 1546.46   |
| Final equity                | 1256.9    |
| Net PNL + fees              | 546.456   |
| Total gain                  | 57.24%    |
| Average daily gain          | 0.0402%   |
| DG mean std ratio           | 0.03282   |
| Price action distance mean  | 0.0794389 |
| Price action distance std   | 0.179908  |
| Price action distance max   | 1.04597   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.752     |
| Equity/balance ratio std    | 0.05253   |
| No. fills                   | 24720     |
| No. entries                 | 15905     |
| No. closes                  | 8815      |
| No. initial entries         | 8732      |
| No. reentries               | 7168      |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 65        |
| No. normal closes           | 8750      |
| Average n fills per day     | 35.3      |
| Mean hours stuck            | 1.27762   |
| Max hours stuck             | 554.083   |
| PNL sum                     | 572.4     |
| Profit sum                  | 631.3     |
| Loss sum                    | -58.91    |
| Fee sum                     | -25.94    |
| Biggest pos size            | 120.8     |
| Biggest pos cost            | 796.7     |
| Volume quote                | 259406.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.91%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -917.76   |
| Total gain                  | -91.58%   |
| Average daily gain          | -0.656%   |
| DG mean std ratio           | -0.06799  |
| Price action distance mean  | 0.113918  |
| Price action distance std   | 0.182788  |
| Price action distance max   | 0.646214  |
| Closest bankruptcy          | 5.982%    |
| Lowest equity/balance ratio | 0.08746   |
| Equity/balance ratio std    | 0.09649   |
| No. fills                   | 2256      |
| No. entries                 | 1327      |
| No. closes                  | 928       |
| No. initial entries         | 902       |
| No. reentries               | 422       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 26        |
| No. normal closes           | 902       |
| Average n fills per day     | 3.22      |
| Mean hours stuck            | 9.94846   |
| Max hours stuck             | 12500.8   |
| PNL sum                     | -915.8    |
| Profit sum                  | 56.55     |
| Loss sum                    | -972.3    |
| Fee sum                     | -1.987    |
| Biggest pos size            | 80.5      |
| Biggest pos cost            | 526.4     |
| Volume quote                | 19387.5   |
+-----------------------------+-----------+
