+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 672.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0935%   |
| Final balance               | 1771.11   |
| Final equity                | 1767.5    |
| Net PNL + fees              | 771.111   |
| Total gain                  | 81.47%    |
| Average daily gain          | 0.0874%   |
| DG mean std ratio           | 0.1057    |
| Price action distance mean  | 0.0286596 |
| Price action distance std   | 0.0346566 |
| Price action distance max   | 0.813875  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5883    |
| Equity/balance ratio std    | 0.01096   |
| No. fills                   | 24421     |
| No. entries                 | 13793     |
| No. closes                  | 10628     |
| No. initial entries         | 10468     |
| No. reentries               | 3324      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 33        |
| No. normal closes           | 10595     |
| Average n fills per day     | 36.3      |
| Mean hours stuck            | 2.25867   |
| Max hours stuck             | 238.267   |
| PNL sum                     | 814.7     |
| Profit sum                  | 845.3     |
| Loss sum                    | -30.6     |
| Fee sum                     | -43.58    |
| Biggest pos size            | 170.0     |
| Biggest pos cost            | 1450.0    |
| Volume quote                | 435766.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0617%   |
| Final balance               | 1038.44   |
| Final equity                | 1038.44   |
| Net PNL + fees              | 38.4365   |
| Total gain                  | 4.021%    |
| Average daily gain          | 0.00563%  |
| DG mean std ratio           | 0.08099   |
| Price action distance mean  | 0.026104  |
| Price action distance std   | 0.0213718 |
| Price action distance max   | 0.1881    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9786    |
| Equity/balance ratio std    | 0.0009656 |
| No. fills                   | 8565      |
| No. entries                 | 4572      |
| No. closes                  | 3993      |
| No. initial entries         | 3816      |
| No. reentries               | 756       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3993      |
| Average n fills per day     | 12.7      |
| Mean hours stuck            | 3.9815    |
| Max hours stuck             | 144.767   |
| PNL sum                     | 40.21     |
| Profit sum                  | 40.21     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.776    |
| Biggest pos size            | 21.8      |
| Biggest pos cost            | 94.15     |
| Volume quote                | 17757.1   |
+-----------------------------+-----------+
