+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.133%    |
| Final balance               | 1814.88   |
| Final equity                | 1813.01   |
| Net PNL + fees              | 814.878   |
| Total gain                  | 84.9%     |
| Average daily gain          | 0.0716%   |
| DG mean std ratio           | 0.07262   |
| Price action distance mean  | 0.0429307 |
| Price action distance std   | 0.054619  |
| Price action distance max   | 1.4142    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7077    |
| Equity/balance ratio std    | 0.01733   |
| No. fills                   | 27948     |
| No. entries                 | 23428     |
| No. closes                  | 4520      |
| No. initial entries         | 4456      |
| No. reentries               | 18970     |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 55        |
| No. normal closes           | 4465      |
| Average n fills per day     | 31.3      |
| Mean hours stuck            | 1.46513   |
| Max hours stuck             | 545.8     |
| PNL sum                     | 849.0     |
| Profit sum                  | 886.5     |
| Loss sum                    | -37.45    |
| Fee sum                     | -34.13    |
| Biggest pos size            | 34.91     |
| Biggest pos cost            | 890.4     |
| Volume quote                | 341280.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -915.569  |
| Total gain                  | -91.34%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.05094  |
| Price action distance mean  | 0.0487602 |
| Price action distance std   | 0.0848569 |
| Price action distance max   | 0.646314  |
| Closest bankruptcy          | 5.944%    |
| Lowest equity/balance ratio | 0.08729   |
| Equity/balance ratio std    | 0.06506   |
| No. fills                   | 2762      |
| No. entries                 | 1627      |
| No. closes                  | 1134      |
| No. initial entries         | 1045      |
| No. reentries               | 578       |
| No. unstuck entries         | 4         |
| No. unstuck closes          | 89        |
| No. normal closes           | 1045      |
| Average n fills per day     | 3.09      |
| Mean hours stuck            | 17.8733   |
| Max hours stuck             | 12485.6   |
| PNL sum                     | -913.4    |
| Profit sum                  | 69.65     |
| Loss sum                    | -983.1    |
| Fee sum                     | -2.131    |
| Biggest pos size            | 40.78     |
| Biggest pos cost            | 533.9     |
| Volume quote                | 20810.0   |
+-----------------------------+-----------+
