+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0115%  |
| Final balance               | 948.234   |
| Final equity                | 947.516   |
| Net PNL + fees              | -51.7655  |
| Total gain                  | -1.996%   |
| Average daily gain          | 0.00416%  |
| DG mean std ratio           | 0.003028  |
| Price action distance mean  | 0.0315601 |
| Price action distance std   | 0.0864291 |
| Price action distance max   | 1.58523   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6842    |
| Equity/balance ratio std    | 0.02527   |
| No. fills                   | 16983     |
| No. entries                 | 10430     |
| No. closes                  | 6553      |
| No. initial entries         | 5827      |
| No. reentries               | 4527      |
| No. unstuck entries         | 76        |
| No. unstuck closes          | 92        |
| No. normal closes           | 6461      |
| Average n fills per day     | 18.3      |
| Mean hours stuck            | 2.2607    |
| Max hours stuck             | 174.367   |
| PNL sum                     | -19.96    |
| Profit sum                  | 735.5     |
| Loss sum                    | -755.4    |
| Fee sum                     | -31.81    |
| Biggest pos size            | 11.9      |
| Biggest pos cost            | 627.1     |
| Volume quote                | 318065.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -0.0651%  |
| Final balance               | 739.66    |
| Final equity                | 733.782   |
| Net PNL + fees              | -260.34   |
| Total gain                  | -23.2%    |
| Average daily gain          | -0.0254%  |
| DG mean std ratio           | -0.02021  |
| Price action distance mean  | 0.0320832 |
| Price action distance std   | 0.0460471 |
| Price action distance max   | 0.353787  |
| Closest bankruptcy          | 90.99%    |
| Lowest equity/balance ratio | 0.7203    |
| Equity/balance ratio std    | 0.02676   |
| No. fills                   | 14481     |
| No. entries                 | 7322      |
| No. closes                  | 7159      |
| No. initial entries         | 5977      |
| No. reentries               | 1228      |
| No. unstuck entries         | 117       |
| No. unstuck closes          | 80        |
| No. normal closes           | 7079      |
| Average n fills per day     | 15.6      |
| Mean hours stuck            | 4.89659   |
| Max hours stuck             | 281.85    |
| PNL sum                     | -232.0    |
| Profit sum                  | 625.4     |
| Loss sum                    | -857.4    |
| Fee sum                     | -28.33    |
| Biggest pos size            | 11.8      |
| Biggest pos cost            | 543.9     |
| Volume quote                | 283295.0  |
+-----------------------------+-----------+
