+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0628%   |
| Final balance               | 1337.48   |
| Final equity                | 969.889   |
| Net PNL + fees              | 337.481   |
| Total gain                  | 36.24%    |
| Average daily gain          | 0.00762%  |
| DG mean std ratio           | 0.005179  |
| Price action distance mean  | 0.32645   |
| Price action distance std   | 0.485201  |
| Price action distance max   | 2.75377   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.635     |
| Equity/balance ratio std    | 0.1016    |
| No. fills                   | 12225     |
| No. entries                 | 6815      |
| No. closes                  | 5410      |
| No. initial entries         | 4969      |
| No. reentries               | 1838      |
| No. unstuck entries         | 8         |
| No. unstuck closes          | 20        |
| No. normal closes           | 5390      |
| Average n fills per day     | 13.2      |
| Mean hours stuck            | 6.24392   |
| Max hours stuck             | 3818.52   |
| PNL sum                     | 362.4     |
| Profit sum                  | 606.7     |
| Loss sum                    | -244.3    |
| Fee sum                     | -24.91    |
| Biggest pos size            | 12.2      |
| Biggest pos cost            | 757.6     |
| Volume quote                | 249145.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0658%   |
| Final balance               | 1355.87   |
| Final equity                | 1355.86   |
| Net PNL + fees              | 355.872   |
| Total gain                  | 37.4%     |
| Average daily gain          | 0.0478%   |
| DG mean std ratio           | 0.02735   |
| Price action distance mean  | 0.0541729 |
| Price action distance std   | 0.0572328 |
| Price action distance max   | 0.392769  |
| Closest bankruptcy          | 81.5%     |
| Lowest equity/balance ratio | 0.6755    |
| Equity/balance ratio std    | 0.0381    |
| No. fills                   | 12569     |
| No. entries                 | 7631      |
| No. closes                  | 4938      |
| No. initial entries         | 4743      |
| No. reentries               | 2888      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 11        |
| No. normal closes           | 4927      |
| Average n fills per day     | 13.6      |
| Mean hours stuck            | 3.775     |
| Max hours stuck             | 746.883   |
| PNL sum                     | 374.0     |
| Profit sum                  | 410.4     |
| Loss sum                    | -36.41    |
| Fee sum                     | -18.15    |
| Biggest pos size            | 12.6      |
| Biggest pos cost            | 663.3     |
| Volume quote                | 181464.0  |
+-----------------------------+-----------+
