+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 667.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.164%    |
| Final balance               | 1729.3    |
| Final equity                | 1726.03   |
| Net PNL + fees              | 729.301   |
| Total gain                  | 77.68%    |
| Average daily gain          | 0.0875%   |
| DG mean std ratio           | 0.07643   |
| Price action distance mean  | 0.0309828 |
| Price action distance std   | 0.0537851 |
| Price action distance max   | 0.853171  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7695    |
| Equity/balance ratio std    | 0.01893   |
| No. fills                   | 31790     |
| No. entries                 | 18303     |
| No. closes                  | 13487     |
| No. initial entries         | 11375     |
| No. reentries               | 6901      |
| No. unstuck entries         | 27        |
| No. unstuck closes          | 126       |
| No. normal closes           | 13361     |
| Average n fills per day     | 47.6      |
| Mean hours stuck            | 1.37909   |
| Max hours stuck             | 278.733   |
| PNL sum                     | 776.8     |
| Profit sum                  | 1371.0    |
| Loss sum                    | -594.4    |
| Fee sum                     | -47.47    |
| Biggest pos size            | 103.2     |
| Biggest pos cost            | 1130.0    |
| Volume quote                | 474693.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.1%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -900.672  |
| Total gain                  | -89.37%   |
| Average daily gain          | -0.687%   |
| DG mean std ratio           | -0.05626  |
| Price action distance mean  | 0.0381989 |
| Price action distance std   | 0.0521857 |
| Price action distance max   | 0.644308  |
| Closest bankruptcy          | 5.841%    |
| Lowest equity/balance ratio | 0.09013   |
| Equity/balance ratio std    | 0.03577   |
| No. fills                   | 8405      |
| No. entries                 | 5007      |
| No. closes                  | 3397      |
| No. initial entries         | 3279      |
| No. reentries               | 1727      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 3         |
| No. normal closes           | 3394      |
| Average n fills per day     | 12.6      |
| Mean hours stuck            | 6.02217   |
| Max hours stuck             | 8048.7    |
| PNL sum                     | -893.7    |
| Profit sum                  | 205.9     |
| Loss sum                    | -1100.0   |
| Fee sum                     | -6.927    |
| Biggest pos size            | 76.1      |
| Biggest pos cost            | 602.2     |
| Volume quote                | 68665.6   |
+-----------------------------+-----------+
