+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 676.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.134%    |
| Final balance               | 1575.06   |
| Final equity                | 1569.51   |
| Net PNL + fees              | 575.064   |
| Total gain                  | 62.93%    |
| Average daily gain          | 0.0767%   |
| DG mean std ratio           | 0.0535    |
| Price action distance mean  | 0.0384653 |
| Price action distance std   | 0.0724139 |
| Price action distance max   | 0.829564  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7738    |
| Equity/balance ratio std    | 0.02671   |
| No. fills                   | 33822     |
| No. entries                 | 19781     |
| No. closes                  | 14041     |
| No. initial entries         | 12392     |
| No. reentries               | 7350      |
| No. unstuck entries         | 39        |
| No. unstuck closes          | 430       |
| No. normal closes           | 13611     |
| Average n fills per day     | 50.0      |
| Mean hours stuck            | 1.12714   |
| Max hours stuck             | 191.017   |
| PNL sum                     | 629.3     |
| Profit sum                  | 1341.0    |
| Loss sum                    | -711.3    |
| Fee sum                     | -54.26    |
| Biggest pos size            | 354.2     |
| Biggest pos cost            | 982.0     |
| Volume quote                | 542567.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.04%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -913.893  |
| Total gain                  | -91.09%   |
| Average daily gain          | -0.678%   |
| DG mean std ratio           | -0.06417  |
| Price action distance mean  | 0.0793771 |
| Price action distance std   | 0.119913  |
| Price action distance max   | 0.646698  |
| Closest bankruptcy          | 5.983%    |
| Lowest equity/balance ratio | 0.08536   |
| Equity/balance ratio std    | 0.05964   |
| No. fills                   | 3413      |
| No. entries                 | 1838      |
| No. closes                  | 1574      |
| No. initial entries         | 1398      |
| No. reentries               | 430       |
| No. unstuck entries         | 10        |
| No. unstuck closes          | 175       |
| No. normal closes           | 1399      |
| Average n fills per day     | 5.04      |
| Mean hours stuck            | 13.6022   |
| Max hours stuck             | 12321.9   |
| PNL sum                     | -910.9    |
| Profit sum                  | 89.82     |
| Loss sum                    | -1001.0   |
| Fee sum                     | -3.003    |
| Biggest pos size            | 286.4     |
| Biggest pos cost            | 539.4     |
| Volume quote                | 29520.7   |
+-----------------------------+-----------+
