+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.152%    |
| Final balance               | 3547.14   |
| Final equity                | 3536.42   |
| Net PNL + fees              | 2547.14   |
| Total gain                  | 270.2%    |
| Average daily gain          | 0.191%    |
| DG mean std ratio           | 0.06001   |
| Price action distance mean  | 0.126438  |
| Price action distance std   | 0.212407  |
| Price action distance max   | 1.88091   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4064    |
| Equity/balance ratio std    | 0.1182    |
| No. fills                   | 29838     |
| No. entries                 | 17152     |
| No. closes                  | 12686     |
| No. initial entries         | 11470     |
| No. reentries               | 5682      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 12686     |
| Average n fills per day     | 32.4      |
| Mean hours stuck            | 1.21696   |
| Max hours stuck             | 3221.22   |
| PNL sum                     | 2702.0    |
| Profit sum                  | 2702.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -154.9    |
| Biggest pos size            | 54492.0   |
| Biggest pos cost            | 3162.0    |
| Volume quote                | 1548600.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0318%   |
| Final balance               | 1026.91   |
| Final equity                | 832.545   |
| Net PNL + fees              | 26.9064   |
| Total gain                  | 2.804%    |
| Average daily gain          | 0.016%    |
| DG mean std ratio           | 0.005977  |
| Price action distance mean  | 0.458334  |
| Price action distance std   | 0.303191  |
| Price action distance max   | 0.879781  |
| Closest bankruptcy          | 44.17%    |
| Lowest equity/balance ratio | 0.3349    |
| Equity/balance ratio std    | 0.1324    |
| No. fills                   | 5187      |
| No. entries                 | 3749      |
| No. closes                  | 1438      |
| No. initial entries         | 1439      |
| No. reentries               | 2310      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1438      |
| Average n fills per day     | 5.64      |
| Mean hours stuck            | 6.98478   |
| Max hours stuck             | 16998.8   |
| PNL sum                     | 28.04     |
| Profit sum                  | 28.04     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.138    |
| Biggest pos size            | 9229.0    |
| Biggest pos cost            | 93.33     |
| Volume quote                | 11380.5   |
+-----------------------------+-----------+
