+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.013%    |
| Final balance               | 1062.12   |
| Final equity                | 728.571   |
| Net PNL + fees              | 62.1155   |
| Total gain                  | 7.761%    |
| Average daily gain          | -0.023%   |
| DG mean std ratio           | -0.01562  |
| Price action distance mean  | 0.409959  |
| Price action distance std   | 0.617235  |
| Price action distance max   | 3.45399   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.646     |
| Equity/balance ratio std    | 0.1035    |
| No. fills                   | 9280      |
| No. entries                 | 5069      |
| No. closes                  | 4211      |
| No. initial entries         | 4133      |
| No. reentries               | 910       |
| No. unstuck entries         | 26        |
| No. unstuck closes          | 71        |
| No. normal closes           | 4140      |
| Average n fills per day     | 10.0      |
| Mean hours stuck            | 11.3578   |
| Max hours stuck             | 5446.9    |
| PNL sum                     | 77.61     |
| Profit sum                  | 351.9     |
| Loss sum                    | -274.3    |
| Fee sum                     | -15.49    |
| Biggest pos size            | 11.6      |
| Biggest pos cost            | 587.2     |
| Volume quote                | 154896.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0512%   |
| Final balance               | 1267.47   |
| Final equity                | 1267.41   |
| Net PNL + fees              | 267.466   |
| Total gain                  | 27.76%    |
| Average daily gain          | 0.0478%   |
| DG mean std ratio           | 0.02234   |
| Price action distance mean  | 0.0614503 |
| Price action distance std   | 0.0912374 |
| Price action distance max   | 0.536017  |
| Closest bankruptcy          | 43.31%    |
| Lowest equity/balance ratio | 0.4488    |
| Equity/balance ratio std    | 0.07014   |
| No. fills                   | 6689      |
| No. entries                 | 3581      |
| No. closes                  | 3108      |
| No. initial entries         | 3097      |
| No. reentries               | 484       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 5         |
| No. normal closes           | 3103      |
| Average n fills per day     | 7.23      |
| Mean hours stuck            | 6.46185   |
| Max hours stuck             | 2726.97   |
| PNL sum                     | 277.6     |
| Profit sum                  | 285.0     |
| Loss sum                    | -7.398    |
| Fee sum                     | -10.1     |
| Biggest pos size            | 9.5       |
| Biggest pos cost            | 602.5     |
| Volume quote                | 101022.0  |
+-----------------------------+-----------+
