+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 742.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.278%    |
| Final balance               | 6522.14   |
| Final equity                | 6513.41   |
| Net PNL + fees              | 5522.14   |
| Total gain                  | 573.8%    |
| Average daily gain          | 0.273%    |
| DG mean std ratio           | 0.136     |
| Price action distance mean  | 0.0234492 |
| Price action distance std   | 0.0489441 |
| Price action distance max   | 0.532241  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6842    |
| Equity/balance ratio std    | 0.03643   |
| No. fills                   | 31991     |
| No. entries                 | 19995     |
| No. closes                  | 11996     |
| No. initial entries         | 11568     |
| No. reentries               | 8427      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 11996     |
| Average n fills per day     | 43.1      |
| Mean hours stuck            | 1.03005   |
| Max hours stuck             | 979.383   |
| PNL sum                     | 5738.0    |
| Profit sum                  | 5738.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -216.3    |
| Biggest pos size            | 309988.0  |
| Biggest pos cost            | 5864.0    |
| Volume quote                | 2162620.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.3%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -947.717  |
| Total gain                  | -94.75%   |
| Average daily gain          | -0.618%   |
| DG mean std ratio           | -0.04946  |
| Price action distance mean  | 0.0682445 |
| Price action distance std   | 0.144339  |
| Price action distance max   | 0.907286  |
| Closest bankruptcy          | 4.952%    |
| Lowest equity/balance ratio | 0.1104    |
| Equity/balance ratio std    | 0.0165    |
| No. fills                   | 508       |
| No. entries                 | 379       |
| No. closes                  | 128       |
| No. initial entries         | 129       |
| No. reentries               | 250       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 128       |
| Average n fills per day     | 0.684     |
| Mean hours stuck            | 43.7912   |
| Max hours stuck             | 12956.7   |
| PNL sum                     | -947.5    |
| Profit sum                  | 16.08     |
| Loss sum                    | -963.6    |
| Fee sum                     | -0.175    |
| Biggest pos size            | 27490.0   |
| Biggest pos cost            | 92.35     |
| Volume quote                | 1657.84   |
+-----------------------------+-----------+
