+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 928.652   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.107%    |
| Final balance               | 1644.05   |
| Final equity                | 1427.76   |
| Net PNL + fees              | 644.047   |
| Total gain                  | 67.21%    |
| Average daily gain          | 0.0438%   |
| DG mean std ratio           | 0.04239   |
| Price action distance mean  | 0.0544073 |
| Price action distance std   | 0.111999  |
| Price action distance max   | 1.04462   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7443    |
| Equity/balance ratio std    | 0.0398    |
| No. fills                   | 21038     |
| No. entries                 | 11201     |
| No. closes                  | 9837      |
| No. initial entries         | 9420      |
| No. reentries               | 1780      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 65        |
| No. normal closes           | 9772      |
| Average n fills per day     | 22.7      |
| Mean hours stuck            | 4.9727    |
| Max hours stuck             | 1106.6    |
| PNL sum                     | 672.1     |
| Profit sum                  | 688.8     |
| Loss sum                    | -16.67    |
| Fee sum                     | -28.08    |
| Biggest pos size            | 2402.0    |
| Biggest pos cost            | 825.7     |
| Volume quote                | 280779.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0453%   |
| Final balance               | 1233.96   |
| Final equity                | 1233.91   |
| Net PNL + fees              | 233.961   |
| Total gain                  | 24.4%     |
| Average daily gain          | 0.0648%   |
| DG mean std ratio           | 0.02256   |
| Price action distance mean  | 0.0351912 |
| Price action distance std   | 0.0790969 |
| Price action distance max   | 0.595719  |
| Closest bankruptcy          | 20.97%    |
| Lowest equity/balance ratio | 0.2638    |
| Equity/balance ratio std    | 0.07317   |
| No. fills                   | 11746     |
| No. entries                 | 6304      |
| No. closes                  | 5442      |
| No. initial entries         | 5164      |
| No. reentries               | 1139      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 51        |
| No. normal closes           | 5391      |
| Average n fills per day     | 12.6      |
| Mean hours stuck            | 3.85933   |
| Max hours stuck             | 497.483   |
| PNL sum                     | 244.0     |
| Profit sum                  | 254.4     |
| Loss sum                    | -10.35    |
| Fee sum                     | -10.05    |
| Biggest pos size            | 1644.0    |
| Biggest pos cost            | 599.9     |
| Volume quote                | 100491.0  |
+-----------------------------+-----------+
