+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.075%    |
| Final balance               | 1411.9    |
| Final equity                | 1411.62   |
| Net PNL + fees              | 411.896   |
| Total gain                  | 43.02%    |
| Average daily gain          | 0.0417%   |
| DG mean std ratio           | 0.04667   |
| Price action distance mean  | 0.0200471 |
| Price action distance std   | 0.0413982 |
| Price action distance max   | 1.0794    |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7405    |
| Equity/balance ratio std    | 0.01514   |
| No. fills                   | 17976     |
| No. entries                 | 9999      |
| No. closes                  | 7977      |
| No. initial entries         | 7437      |
| No. reentries               | 2560      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 400       |
| No. normal closes           | 7577      |
| Average n fills per day     | 19.5      |
| Mean hours stuck            | 2.36645   |
| Max hours stuck             | 397.0     |
| PNL sum                     | 430.2     |
| Profit sum                  | 440.3     |
| Loss sum                    | -10.09    |
| Fee sum                     | -18.31    |
| Biggest pos size            | 38424.0   |
| Biggest pos cost            | 630.0     |
| Volume quote                | 183080.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0515%   |
| Final balance               | 1267.13   |
| Final equity                | 1267.14   |
| Net PNL + fees              | 267.13    |
| Total gain                  | 29.15%    |
| Average daily gain          | 0.138%    |
| DG mean std ratio           | 0.02912   |
| Price action distance mean  | 0.116147  |
| Price action distance std   | 0.149685  |
| Price action distance max   | 0.623273  |
| Closest bankruptcy          | 12.91%    |
| Lowest equity/balance ratio | 0.1727    |
| Equity/balance ratio std    | 0.136     |
| No. fills                   | 18106     |
| No. entries                 | 9674      |
| No. closes                  | 8432      |
| No. initial entries         | 4370      |
| No. reentries               | 5291      |
| No. unstuck entries         | 13        |
| No. unstuck closes          | 2830      |
| No. normal closes           | 5602      |
| Average n fills per day     | 19.7      |
| Mean hours stuck            | 2.53554   |
| Max hours stuck             | 1356.88   |
| PNL sum                     | 291.5     |
| Profit sum                  | 596.3     |
| Loss sum                    | -304.8    |
| Fee sum                     | -24.33    |
| Biggest pos size            | 48501.0   |
| Biggest pos cost            | 648.7     |
| Volume quote                | 243344.0  |
+-----------------------------+-----------+
