+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.665   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0765%   |
| Final balance               | 1407.69   |
| Final equity                | 1407.69   |
| Net PNL + fees              | 407.69    |
| Total gain                  | 40.99%    |
| Average daily gain          | 0.0414%   |
| DG mean std ratio           | 0.05322   |
| Price action distance mean  | 0.0399869 |
| Price action distance std   | 0.0702825 |
| Price action distance max   | 1.15319   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7319    |
| Equity/balance ratio std    | 0.01257   |
| No. fills                   | 3215      |
| No. entries                 | 583       |
| No. closes                  | 2632      |
| No. initial entries         | 254       |
| No. reentries               | 329       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2632      |
| Average n fills per day     | 3.6       |
| Mean hours stuck            | 10.9933   |
| Max hours stuck             | 1548.05   |
| PNL sum                     | 409.9     |
| Profit sum                  | 409.9     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.224    |
| Biggest pos size            | 37.56     |
| Biggest pos cost            | 581.8     |
| Volume quote                | 22242.4   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -904.088  |
| Total gain                  | -90.3%    |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.04815  |
| Price action distance mean  | 0.0555902 |
| Price action distance std   | 0.125941  |
| Price action distance max   | 0.643646  |
| Closest bankruptcy          | 5.907%    |
| Lowest equity/balance ratio | 0.09543   |
| Equity/balance ratio std    | 0.064     |
| No. fills                   | 1824      |
| No. entries                 | 100       |
| No. closes                  | 1723      |
| No. initial entries         | 66        |
| No. reentries               | 34        |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1723      |
| Average n fills per day     | 2.04      |
| Mean hours stuck            | 12.4915   |
| Max hours stuck             | 12485.6   |
| PNL sum                     | -903.0    |
| Profit sum                  | 147.5     |
| Loss sum                    | -1050.0   |
| Fee sum                     | -1.111    |
| Biggest pos size            | 29.49     |
| Biggest pos cost            | 574.2     |
| Volume quote                | 10539.9   |
+-----------------------------+-----------+
