+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | XRPUSDT   |
| No. days                    | 928.652   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0852%   |
| Final balance               | 1485.47   |
| Final equity                | 1485.12   |
| Net PNL + fees              | 485.474   |
| Total gain                  | 52.28%    |
| Average daily gain          | 0.0469%   |
| DG mean std ratio           | 0.05186   |
| Price action distance mean  | 0.0208606 |
| Price action distance std   | 0.0482345 |
| Price action distance max   | 1.13782   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7339    |
| Equity/balance ratio std    | 0.01811   |
| No. fills                   | 40049     |
| No. entries                 | 21928     |
| No. closes                  | 18121     |
| No. initial entries         | 16949     |
| No. reentries               | 4957      |
| No. unstuck entries         | 22        |
| No. unstuck closes          | 515       |
| No. normal closes           | 17606     |
| Average n fills per day     | 43.1      |
| Mean hours stuck            | 2.21989   |
| Max hours stuck             | 264.133   |
| PNL sum                     | 522.8     |
| Profit sum                  | 598.8     |
| Loss sum                    | -76.03    |
| Fee sum                     | -37.35    |
| Biggest pos size            | 2456.0    |
| Biggest pos cost            | 699.8     |
| Volume quote                | 373476.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0424%   |
| Final balance               | 1217.77   |
| Final equity                | 1212.47   |
| Net PNL + fees              | 217.77    |
| Total gain                  | 23.6%     |
| Average daily gain          | 0.14%     |
| DG mean std ratio           | 0.02758   |
| Price action distance mean  | 0.0583403 |
| Price action distance std   | 0.113909  |
| Price action distance max   | 0.626536  |
| Closest bankruptcy          | 12.43%    |
| Lowest equity/balance ratio | 0.1676    |
| Equity/balance ratio std    | 0.1108    |
| No. fills                   | 25327     |
| No. entries                 | 14918     |
| No. closes                  | 10409     |
| No. initial entries         | 10372     |
| No. reentries               | 4546      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 38        |
| No. normal closes           | 10371     |
| Average n fills per day     | 27.3      |
| Mean hours stuck            | 2.59309   |
| Max hours stuck             | 1109.65   |
| PNL sum                     | 236.0     |
| Profit sum                  | 238.3     |
| Loss sum                    | -2.319    |
| Fee sum                     | -18.23    |
| Biggest pos size            | 2045.0    |
| Biggest pos cost            | 588.8     |
| Volume quote                | 182284.0  |
+-----------------------------+-----------+
