+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | SOLUSDT  |
| No. days                    | 676.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.138%   |
| Final balance               | 1593.08  |
| Final equity                | 1478.08  |
| Net PNL + fees              | 593.076  |
| Total gain                  | 65.15%   |
| Average daily gain          | 0.0754%  |
| DG mean std ratio           | 0.04006  |
| Price action distance mean  | 0.18479  |
| Price action distance std   | 0.21029  |
| Price action distance max   | 1.58561  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.694    |
| Equity/balance ratio std    | 0.06356  |
| No. fills                   | 34262    |
| No. entries                 | 29162    |
| No. closes                  | 5100     |
| No. initial entries         | 4805     |
| No. reentries               | 24333    |
| No. unstuck entries         | 24       |
| No. unstuck closes          | 147      |
| No. normal closes           | 4953     |
| Average n fills per day     | 50.6     |
| Mean hours stuck            | 1.22991  |
| Max hours stuck             | 864.1    |
| PNL sum                     | 651.5    |
| Profit sum                  | 1435.0   |
| Loss sum                    | -783.6   |
| Fee sum                     | -58.41   |
| Biggest pos size            | 342.5    |
| Biggest pos cost            | 1141.0   |
| Volume quote                | 584139.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -4.04%   |
| Final balance               | 0.001    |
| Final equity                | 0.001    |
| Net PNL + fees              | -910.919 |
| Total gain                  | -90.76%  |
| Average daily gain          | -0.678%  |
| DG mean std ratio           | -0.05837 |
| Price action distance mean  | 0.094458 |
| Price action distance std   | 0.128315 |
| Price action distance max   | 0.644383 |
| Closest bankruptcy          | 5.875%   |
| Lowest equity/balance ratio | 0.09467  |
| Equity/balance ratio std    | 0.06159  |
| No. fills                   | 3507     |
| No. entries                 | 2059     |
| No. closes                  | 1447     |
| No. initial entries         | 1339     |
| No. reentries               | 717      |
| No. unstuck entries         | 3        |
| No. unstuck closes          | 104      |
| No. normal closes           | 1343     |
| Average n fills per day     | 5.18     |
| Mean hours stuck            | 10.7485  |
| Max hours stuck             | 12346.2  |
| PNL sum                     | -907.6   |
| Profit sum                  | 97.93    |
| Loss sum                    | -1006.0  |
| Fee sum                     | -3.283   |
| Biggest pos size            | 305.0    |
| Biggest pos cost            | 544.9    |
| Volume quote                | 32297.1  |
+-----------------------------+----------+
