+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 676.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.161%    |
| Final balance               | 1726.59   |
| Final equity                | 1723.96   |
| Net PNL + fees              | 726.589   |
| Total gain                  | 76.36%    |
| Average daily gain          | 0.0847%   |
| DG mean std ratio           | 0.09254   |
| Price action distance mean  | 0.0799481 |
| Price action distance std   | 0.150317  |
| Price action distance max   | 0.951427  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7548    |
| Equity/balance ratio std    | 0.04125   |
| No. fills                   | 17703     |
| No. entries                 | 9003      |
| No. closes                  | 8700      |
| No. initial entries         | 7239      |
| No. reentries               | 1759      |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 12        |
| No. normal closes           | 8688      |
| Average n fills per day     | 26.2      |
| Mean hours stuck            | 2.09913   |
| Max hours stuck             | 831.783   |
| PNL sum                     | 763.6     |
| Profit sum                  | 910.1     |
| Loss sum                    | -146.5    |
| Fee sum                     | -37.02    |
| Biggest pos size            | 432.5     |
| Biggest pos cost            | 853.2     |
| Volume quote                | 370233.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.04%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -978.055  |
| Total gain                  | -97.27%   |
| Average daily gain          | -0.678%   |
| DG mean std ratio           | -0.06377  |
| Price action distance mean  | 0.106623  |
| Price action distance std   | 0.142043  |
| Price action distance max   | 0.672369  |
| Closest bankruptcy          | 5.715%    |
| Lowest equity/balance ratio | 0.08553   |
| Equity/balance ratio std    | 0.09712   |
| No. fills                   | 8049      |
| No. entries                 | 4109      |
| No. closes                  | 3939      |
| No. initial entries         | 3130      |
| No. reentries               | 912       |
| No. unstuck entries         | 67        |
| No. unstuck closes          | 655       |
| No. normal closes           | 3284      |
| Average n fills per day     | 11.9      |
| Mean hours stuck            | 5.71464   |
| Max hours stuck             | 7650.93   |
| PNL sum                     | -972.7    |
| Profit sum                  | 122.2     |
| Loss sum                    | -1095.0   |
| Fee sum                     | -5.366    |
| Biggest pos size            | 294.5     |
| Biggest pos cost            | 510.1     |
| Volume quote                | 53537.0   |
+-----------------------------+-----------+
