+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0538%   |
| Final balance               | 1282.78   |
| Final equity                | 1282.67   |
| Net PNL + fees              | 282.781   |
| Total gain                  | 28.77%    |
| Average daily gain          | 0.0307%   |
| DG mean std ratio           | 0.03582   |
| Price action distance mean  | 0.0289123 |
| Price action distance std   | 0.0452967 |
| Price action distance max   | 0.845531  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7707    |
| Equity/balance ratio std    | 0.01349   |
| No. fills                   | 2399      |
| No. entries                 | 1397      |
| No. closes                  | 1002      |
| No. initial entries         | 939       |
| No. reentries               | 458       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1002      |
| Average n fills per day     | 2.59      |
| Mean hours stuck            | 11.3404   |
| Max hours stuck             | 606.4     |
| PNL sum                     | 287.7     |
| Profit sum                  | 287.7     |
| Loss sum                    | 0.0       |
| Fee sum                     | -4.962    |
| Biggest pos size            | 13.9      |
| Biggest pos cost            | 622.5     |
| Volume quote                | 49623.2   |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.96%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -904.573  |
| Total gain                  | -90.3%    |
| Average daily gain          | -0.496%   |
| DG mean std ratio           | -0.04831  |
| Price action distance mean  | 0.109253  |
| Price action distance std   | 0.127647  |
| Price action distance max   | 0.643822  |
| Closest bankruptcy          | 5.963%    |
| Lowest equity/balance ratio | 0.08786   |
| Equity/balance ratio std    | 0.08829   |
| No. fills                   | 1239      |
| No. entries                 | 1109      |
| No. closes                  | 129       |
| No. initial entries         | 108       |
| No. reentries               | 1001      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 129       |
| Average n fills per day     | 1.34      |
| Mean hours stuck            | 31.8735   |
| Max hours stuck             | 13567.8   |
| PNL sum                     | -903.0    |
| Profit sum                  | 129.2     |
| Loss sum                    | -1032.0   |
| Fee sum                     | -1.574    |
| Biggest pos size            | 13.3      |
| Biggest pos cost            | 569.1     |
| Volume quote                | 15168.2   |
+-----------------------------+-----------+
