+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | BNBUSDT    |
| No. days                    | 893.666    |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | 0.0116%    |
| Final balance               | 1099.02    |
| Final equity                | 1098.3     |
| Net PNL + fees              | 99.0167    |
| Total gain                  | 16.32%     |
| Average daily gain          | 0.026%     |
| DG mean std ratio           | 0.01602    |
| Price action distance mean  | 0.00836337 |
| Price action distance std   | 0.0151462  |
| Price action distance max   | 1.03655    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.5373     |
| Equity/balance ratio std    | 0.008568   |
| No. fills                   | 27594      |
| No. entries                 | 13131      |
| No. closes                  | 14463      |
| No. initial entries         | 9136       |
| No. reentries               | 3638       |
| No. unstuck entries         | 357        |
| No. unstuck closes          | 4299       |
| No. normal closes           | 10164      |
| Average n fills per day     | 30.9       |
| Mean hours stuck            | 1.11037    |
| Max hours stuck             | 152.533    |
| PNL sum                     | 163.2      |
| Profit sum                  | 1347.0     |
| Loss sum                    | -1184.0    |
| Fee sum                     | -64.17     |
| Biggest pos size            | 62.32      |
| Biggest pos cost            | 1078.0     |
| Volume quote                | 641698.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | -0.59%     |
| Final balance               | 618.977    |
| Final equity                | 503.016    |
| Net PNL + fees              | -381.023   |
| Total gain                  | -38.07%    |
| Average daily gain          | 0.0155%    |
| DG mean std ratio           | 0.003587   |
| Price action distance mean  | 0.505587   |
| Price action distance std   | 0.365993   |
| Price action distance max   | 0.895323   |
| Closest bankruptcy          | 21.57%     |
| Lowest equity/balance ratio | 0.1974     |
| Equity/balance ratio std    | 0.1989     |
| No. fills                   | 2188       |
| No. entries                 | 1381       |
| No. closes                  | 807        |
| No. initial entries         | 764        |
| No. reentries               | 604        |
| No. unstuck entries         | 13         |
| No. unstuck closes          | 43         |
| No. normal closes           | 764        |
| Average n fills per day     | 2.45       |
| Mean hours stuck            | 11.1534    |
| Max hours stuck             | 10097.7    |
| PNL sum                     | -380.7     |
| Profit sum                  | 8.457      |
| Loss sum                    | -389.2     |
| Fee sum                     | -0.3162    |
| Biggest pos size            | 1.88       |
| Biggest pos cost            | 92.02      |
| Volume quote                | 3162.32    |
+-----------------------------+------------+
