+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 638.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.4%      |
| Final balance               | 10149.3   |
| Final equity                | 8007.7    |
| Net PNL + fees              | 9149.33   |
| Total gain                  | 923.1%    |
| Average daily gain          | 0.374%    |
| DG mean std ratio           | 0.1203    |
| Price action distance mean  | 0.134018  |
| Price action distance std   | 0.329226  |
| Price action distance max   | 2.47712   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.3524    |
| Equity/balance ratio std    | 0.1384    |
| No. fills                   | 5937      |
| No. entries                 | 3763      |
| No. closes                  | 2174      |
| No. initial entries         | 1388      |
| No. reentries               | 2375      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2174      |
| Average n fills per day     | 9.3       |
| Mean hours stuck            | 3.51986   |
| Max hours stuck             | 1880.13   |
| PNL sum                     | 9231.0    |
| Profit sum                  | 9231.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -81.73    |
| Biggest pos size            | 63244.0   |
| Biggest pos cost            | 9226.0    |
| Volume quote                | 817270.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0861%   |
| Final balance               | 1051.27   |
| Final equity                | 1033.2    |
| Net PNL + fees              | 51.2682   |
| Total gain                  | 5.384%    |
| Average daily gain          | 0.0118%   |
| DG mean std ratio           | 0.01017   |
| Price action distance mean  | 0.0885195 |
| Price action distance std   | 0.16496   |
| Price action distance max   | 0.759835  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7082    |
| Equity/balance ratio std    | 0.03721   |
| No. fills                   | 14261     |
| No. entries                 | 7659      |
| No. closes                  | 6602      |
| No. initial entries         | 6603      |
| No. reentries               | 1056      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 6602      |
| Average n fills per day     | 22.3      |
| Mean hours stuck            | 3.06887   |
| Max hours stuck             | 2005.52   |
| PNL sum                     | 53.84     |
| Profit sum                  | 53.84     |
| Loss sum                    | 0.0       |
| Fee sum                     | -2.574    |
| Biggest pos size            | 3018.0    |
| Biggest pos cost            | 96.63     |
| Volume quote                | 25739.9   |
+-----------------------------+-----------+
