+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | ADAUSDT   |
| No. days                    | 903.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0653%   |
| Final balance               | 1343.19   |
| Final equity                | 1342.85   |
| Net PNL + fees              | 343.188   |
| Total gain                  | 37.87%    |
| Average daily gain          | 0.037%    |
| DG mean std ratio           | 0.04087   |
| Price action distance mean  | 0.0365833 |
| Price action distance std   | 0.0980134 |
| Price action distance max   | 1.28244   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7191    |
| Equity/balance ratio std    | 0.02517   |
| No. fills                   | 38415     |
| No. entries                 | 20933     |
| No. closes                  | 17482     |
| No. initial entries         | 17339     |
| No. reentries               | 3593      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 144       |
| No. normal closes           | 17338     |
| Average n fills per day     | 42.5      |
| Mean hours stuck            | 1.36712   |
| Max hours stuck             | 809.833   |
| PNL sum                     | 378.7     |
| Profit sum                  | 381.1     |
| Loss sum                    | -2.348    |
| Fee sum                     | -35.54    |
| Biggest pos size            | 12569.0   |
| Biggest pos cost            | 557.6     |
| Volume quote                | 355423.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0411%   |
| Final balance               | 1204.26   |
| Final equity                | 1204.19   |
| Net PNL + fees              | 204.26    |
| Total gain                  | 22.58%    |
| Average daily gain          | 0.0247%   |
| DG mean std ratio           | 0.0273    |
| Price action distance mean  | 0.023632  |
| Price action distance std   | 0.026543  |
| Price action distance max   | 0.270527  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8147    |
| Equity/balance ratio std    | 0.01514   |
| No. fills                   | 27373     |
| No. entries                 | 14609     |
| No. closes                  | 12764     |
| No. initial entries         | 12457     |
| No. reentries               | 2149      |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 308       |
| No. normal closes           | 12456     |
| Average n fills per day     | 30.3      |
| Mean hours stuck            | 3.83654   |
| Max hours stuck             | 321.35    |
| PNL sum                     | 225.8     |
| Profit sum                  | 330.2     |
| Loss sum                    | -104.5    |
| Fee sum                     | -21.51    |
| Biggest pos size            | 16515.0   |
| Biggest pos cost            | 598.8     |
| Volume quote                | 215105.0  |
+-----------------------------+-----------+
