+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | -0.0213%  |
| Final balance               | 906.06    |
| Final equity                | 905.336   |
| Net PNL + fees              | -93.9397  |
| Total gain                  | -6.478%   |
| Average daily gain          | -0.00226% |
| DG mean std ratio           | -0.001773 |
| Price action distance mean  | 0.0437634 |
| Price action distance std   | 0.0623125 |
| Price action distance max   | 1.06295   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7418    |
| Equity/balance ratio std    | 0.02267   |
| No. fills                   | 15962     |
| No. entries                 | 8651      |
| No. closes                  | 7311      |
| No. initial entries         | 7014      |
| No. reentries               | 1592      |
| No. unstuck entries         | 45        |
| No. unstuck closes          | 134       |
| No. normal closes           | 7177      |
| Average n fills per day     | 17.2      |
| Mean hours stuck            | 6.62962   |
| Max hours stuck             | 1144.57   |
| PNL sum                     | -64.78    |
| Profit sum                  | 589.7     |
| Loss sum                    | -654.5    |
| Fee sum                     | -29.16    |
| Biggest pos size            | 11.5      |
| Biggest pos cost            | 611.0     |
| Volume quote                | 291597.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.96%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -905.708  |
| Total gain                  | -89.97%   |
| Average daily gain          | -0.496%   |
| DG mean std ratio           | -0.01157  |
| Price action distance mean  | 0.13872   |
| Price action distance std   | 0.203467  |
| Price action distance max   | 0.656066  |
| Closest bankruptcy          | 5.982%    |
| Lowest equity/balance ratio | 0.088     |
| Equity/balance ratio std    | 0.1701    |
| No. fills                   | 4785      |
| No. entries                 | 2748      |
| No. closes                  | 2036      |
| No. initial entries         | 1962      |
| No. reentries               | 786       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 5         |
| No. normal closes           | 2031      |
| Average n fills per day     | 5.17      |
| Mean hours stuck            | 14.8106   |
| Max hours stuck             | 11237.4   |
| PNL sum                     | -899.7    |
| Profit sum                  | 148.4     |
| Loss sum                    | -1048.0   |
| Fee sum                     | -5.99     |
| Biggest pos size            | 13.3      |
| Biggest pos cost            | 560.7     |
| Volume quote                | 59359.0   |
+-----------------------------+-----------+
