+------------------------------------------+
|                 Summary                  |
+-----------------------------+------------+
| Metric                      | Value      |
+-----------------------------+------------+
| Exchange                    | binance    |
| Market type                 | futures    |
| Symbol                      | TRXUSDT    |
| No. days                    | 919.663    |
| Starting balance            | 1000.0     |
|                             |            |
| Long                        | True       |
| ADG realized per exposure   | -0.031%    |
| Final balance               | 867.169    |
| Final equity                | 866.655    |
| Net PNL + fees              | -132.831   |
| Total gain                  | -5.027%    |
| Average daily gain          | -0.00781%  |
| DG mean std ratio           | -0.00645   |
| Price action distance mean  | 0.00920896 |
| Price action distance std   | 0.0208004  |
| Price action distance max   | 1.24204    |
| Closest bankruptcy          | 100.0%     |
| Lowest equity/balance ratio | 0.723      |
| Equity/balance ratio std    | 0.007769   |
| No. fills                   | 54710      |
| No. entries                 | 30632      |
| No. closes                  | 24078      |
| No. initial entries         | 13588      |
| No. reentries               | 16336      |
| No. unstuck entries         | 708        |
| No. unstuck closes          | 6091       |
| No. normal closes           | 17987      |
| Average n fills per day     | 59.5       |
| Mean hours stuck            | 0.763576   |
| Max hours stuck             | 103.5      |
| PNL sum                     | -50.27     |
| Profit sum                  | 1658.0     |
| Loss sum                    | -1708.0    |
| Fee sum                     | -82.56     |
| Biggest pos size            | 51575.0    |
| Biggest pos cost            | 693.2      |
| Volume quote                | 825637.0   |
|                             |            |
| Short                       | True       |
| ADG realized per exposure   | -2.98%     |
| Final balance               | 0.001      |
| Final equity                | 0.001      |
| Net PNL + fees              | -906.366   |
| Total gain                  | -90.21%    |
| Average daily gain          | -0.499%    |
| DG mean std ratio           | -0.03913   |
| Price action distance mean  | 0.238488   |
| Price action distance std   | 0.154378   |
| Price action distance max   | 0.644094   |
| Closest bankruptcy          | 5.989%     |
| Lowest equity/balance ratio | 0.09469    |
| Equity/balance ratio std    | 0.1157     |
| No. fills                   | 2436       |
| No. entries                 | 2119       |
| No. closes                  | 316        |
| No. initial entries         | 264        |
| No. reentries               | 1855       |
| No. unstuck entries         | 0          |
| No. unstuck closes          | 0          |
| No. normal closes           | 316        |
| Average n fills per day     | 2.65       |
| Mean hours stuck            | 20.6666    |
| Max hours stuck             | 16543.0    |
| PNL sum                     | -902.1     |
| Profit sum                  | 109.4      |
| Loss sum                    | -1012.0    |
| Fee sum                     | -4.225     |
| Biggest pos size            | 53394.0    |
| Biggest pos cost            | 552.9      |
| Volume quote                | 41694.8    |
+-----------------------------+------------+
