+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0641%   |
| Final balance               | 1345.61   |
| Final equity                | 887.527   |
| Net PNL + fees              | 345.614   |
| Total gain                  | 36.92%    |
| Average daily gain          | -0.00721% |
| DG mean std ratio           | -0.006841 |
| Price action distance mean  | 0.349221  |
| Price action distance std   | 0.714828  |
| Price action distance max   | 3.94053   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6222    |
| Equity/balance ratio std    | 0.1067    |
| No. fills                   | 13598     |
| No. entries                 | 7186      |
| No. closes                  | 6412      |
| No. initial entries         | 6368      |
| No. reentries               | 815       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 10        |
| No. normal closes           | 6402      |
| Average n fills per day     | 14.7      |
| Mean hours stuck            | 5.21376   |
| Max hours stuck             | 5538.93   |
| PNL sum                     | 369.2     |
| Profit sum                  | 379.4     |
| Loss sum                    | -10.21    |
| Fee sum                     | -23.56    |
| Biggest pos size            | 11.6      |
| Biggest pos cost            | 650.3     |
| Volume quote                | 235639.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.96%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -912.342  |
| Total gain                  | -90.91%   |
| Average daily gain          | -0.496%   |
| DG mean std ratio           | -0.02816  |
| Price action distance mean  | 0.148999  |
| Price action distance std   | 0.199143  |
| Price action distance max   | 0.651619  |
| Closest bankruptcy          | 5.983%    |
| Lowest equity/balance ratio | 0.08681   |
| Equity/balance ratio std    | 0.151     |
| No. fills                   | 3932      |
| No. entries                 | 2267      |
| No. closes                  | 1664      |
| No. initial entries         | 1650      |
| No. reentries               | 614       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 7         |
| No. normal closes           | 1657      |
| Average n fills per day     | 4.25      |
| Mean hours stuck            | 7.07962   |
| Max hours stuck             | 11168.0   |
| PNL sum                     | -909.1    |
| Profit sum                  | 53.59     |
| Loss sum                    | -962.7    |
| Fee sum                     | -3.252    |
| Biggest pos size            | 9.4       |
| Biggest pos cost            | 528.6     |
| Volume quote                | 32005.3   |
+-----------------------------+-----------+
