+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0639%   |
| Final balance               | 1330.11   |
| Final equity                | 1330.0    |
| Net PNL + fees              | 330.106   |
| Total gain                  | 34.39%    |
| Average daily gain          | 0.0356%   |
| DG mean std ratio           | 0.0424    |
| Price action distance mean  | 0.0245551 |
| Price action distance std   | 0.0658633 |
| Price action distance max   | 1.39061   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7091    |
| Equity/balance ratio std    | 0.01758   |
| No. fills                   | 10355     |
| No. entries                 | 5704      |
| No. closes                  | 4651      |
| No. initial entries         | 4552      |
| No. reentries               | 1151      |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 42        |
| No. normal closes           | 4609      |
| Average n fills per day     | 11.6      |
| Mean hours stuck            | 3.48012   |
| Max hours stuck             | 339.9     |
| PNL sum                     | 343.9     |
| Profit sum                  | 358.9     |
| Loss sum                    | -14.96    |
| Fee sum                     | -13.84    |
| Biggest pos size            | 34.26     |
| Biggest pos cost            | 652.2     |
| Volume quote                | 138408.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -921.379  |
| Total gain                  | -91.99%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.04967  |
| Price action distance mean  | 0.0368393 |
| Price action distance std   | 0.0956588 |
| Price action distance max   | 0.644724  |
| Closest bankruptcy          | 5.979%    |
| Lowest equity/balance ratio | 0.09195   |
| Equity/balance ratio std    | 0.05754   |
| No. fills                   | 1574      |
| No. entries                 | 846       |
| No. closes                  | 727       |
| No. initial entries         | 702       |
| No. reentries               | 142       |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 24        |
| No. normal closes           | 703       |
| Average n fills per day     | 1.76      |
| Mean hours stuck            | 15.994    |
| Max hours stuck             | 12484.0   |
| PNL sum                     | -919.9    |
| Profit sum                  | 47.52     |
| Loss sum                    | -967.4    |
| Fee sum                     | -1.468    |
| Biggest pos size            | 25.26     |
| Biggest pos cost            | 522.2     |
| Volume quote                | 14213.0   |
+-----------------------------+-----------+
