+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.118%    |
| Final balance               | 1719.18   |
| Final equity                | 1718.87   |
| Net PNL + fees              | 719.184   |
| Total gain                  | 75.35%    |
| Average daily gain          | 0.0669%   |
| DG mean std ratio           | 0.054     |
| Price action distance mean  | 0.074406  |
| Price action distance std   | 0.162861  |
| Price action distance max   | 1.78946   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6792    |
| Equity/balance ratio std    | 0.04211   |
| No. fills                   | 16426     |
| No. entries                 | 8666      |
| No. closes                  | 7760      |
| No. initial entries         | 6445      |
| No. reentries               | 2221      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 7760      |
| Average n fills per day     | 17.9      |
| Mean hours stuck            | 2.23876   |
| Max hours stuck             | 2476.48   |
| PNL sum                     | 753.5     |
| Profit sum                  | 753.5     |
| Loss sum                    | 0.0       |
| Fee sum                     | -34.36    |
| Biggest pos size            | 27992.0   |
| Biggest pos cost            | 846.8     |
| Volume quote                | 343635.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -2.98%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -897.325  |
| Total gain                  | -88.54%   |
| Average daily gain          | -0.499%   |
| DG mean std ratio           | -0.0476   |
| Price action distance mean  | 0.040835  |
| Price action distance std   | 0.0951883 |
| Price action distance max   | 0.644571  |
| Closest bankruptcy          | 5.913%    |
| Lowest equity/balance ratio | 0.09348   |
| Equity/balance ratio std    | 0.07023   |
| No. fills                   | 11729     |
| No. entries                 | 7602      |
| No. closes                  | 4126      |
| No. initial entries         | 4063      |
| No. reentries               | 3539      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 4126      |
| Average n fills per day     | 12.8      |
| Mean hours stuck            | 3.19189   |
| Max hours stuck             | 11095.6   |
| PNL sum                     | -885.4    |
| Profit sum                  | 238.8     |
| Loss sum                    | -1124.0   |
| Fee sum                     | -11.88    |
| Biggest pos size            | 52661.0   |
| Biggest pos cost            | 613.3     |
| Volume quote                | 118220.0  |
+-----------------------------+-----------+
