+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | LTCUSDT   |
| No. days                    | 925.66    |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0908%   |
| Final balance               | 1522.28   |
| Final equity                | 986.941   |
| Net PNL + fees              | 522.283   |
| Total gain                  | 54.87%    |
| Average daily gain          | 0.0116%   |
| DG mean std ratio           | 0.007265  |
| Price action distance mean  | 0.50287   |
| Price action distance std   | 0.802718  |
| Price action distance max   | 4.53929   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5932    |
| Equity/balance ratio std    | 0.1147    |
| No. fills                   | 11541     |
| No. entries                 | 6828      |
| No. closes                  | 4713      |
| No. initial entries         | 4530      |
| No. reentries               | 2293      |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 17        |
| No. normal closes           | 4696      |
| Average n fills per day     | 12.5      |
| Mean hours stuck            | 5.10006   |
| Max hours stuck             | 4835.2    |
| PNL sum                     | 548.7     |
| Profit sum                  | 645.2     |
| Loss sum                    | -96.51    |
| Fee sum                     | -26.43    |
| Biggest pos size            | 10.4      |
| Biggest pos cost            | 781.7     |
| Volume quote                | 264329.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0797%   |
| Final balance               | 1445.9    |
| Final equity                | 1431.43   |
| Net PNL + fees              | 445.9     |
| Total gain                  | 46.48%    |
| Average daily gain          | 0.0584%   |
| DG mean std ratio           | 0.02906   |
| Price action distance mean  | 0.0740162 |
| Price action distance std   | 0.0680531 |
| Price action distance max   | 0.389999  |
| Closest bankruptcy          | 82.49%    |
| Lowest equity/balance ratio | 0.6798    |
| Equity/balance ratio std    | 0.04439   |
| No. fills                   | 11321     |
| No. entries                 | 7099      |
| No. closes                  | 4222      |
| No. initial entries         | 3468      |
| No. reentries               | 3631      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 2         |
| No. normal closes           | 4220      |
| Average n fills per day     | 12.2      |
| Mean hours stuck            | 4.10038   |
| Max hours stuck             | 697.483   |
| PNL sum                     | 464.8     |
| Profit sum                  | 469.8     |
| Loss sum                    | -5.011    |
| Fee sum                     | -18.86    |
| Biggest pos size            | 12.6      |
| Biggest pos cost            | 654.0     |
| Volume quote                | 188566.0  |
+-----------------------------+-----------+
