+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 676.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.116%    |
| Final balance               | 1478.48   |
| Final equity                | 1475.77   |
| Net PNL + fees              | 478.475   |
| Total gain                  | 50.18%    |
| Average daily gain          | 0.0612%   |
| DG mean std ratio           | 0.07144   |
| Price action distance mean  | 0.0928095 |
| Price action distance std   | 0.165811  |
| Price action distance max   | 0.87761   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7643    |
| Equity/balance ratio std    | 0.04583   |
| No. fills                   | 13791     |
| No. entries                 | 7690      |
| No. closes                  | 6101      |
| No. initial entries         | 6019      |
| No. reentries               | 1671      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 5         |
| No. normal closes           | 6096      |
| Average n fills per day     | 20.4      |
| Mean hours stuck            | 1.65336   |
| Max hours stuck             | 811.583   |
| PNL sum                     | 501.8     |
| Profit sum                  | 563.1     |
| Loss sum                    | -61.3     |
| Fee sum                     | -23.33    |
| Biggest pos size            | 201.1     |
| Biggest pos cost            | 723.3     |
| Volume quote                | 233313.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.04%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -915.919  |
| Total gain                  | -91.23%   |
| Average daily gain          | -0.678%   |
| DG mean std ratio           | -0.06703  |
| Price action distance mean  | 0.0850409 |
| Price action distance std   | 0.130326  |
| Price action distance max   | 0.645095  |
| Closest bankruptcy          | 5.974%    |
| Lowest equity/balance ratio | 0.09218   |
| Equity/balance ratio std    | 0.06266   |
| No. fills                   | 3791      |
| No. entries                 | 1863      |
| No. closes                  | 1927      |
| No. initial entries         | 1404      |
| No. reentries               | 438       |
| No. unstuck entries         | 21        |
| No. unstuck closes          | 519       |
| No. normal closes           | 1408      |
| Average n fills per day     | 5.6       |
| Mean hours stuck            | 8.66649   |
| Max hours stuck             | 12334.6   |
| PNL sum                     | -912.3    |
| Profit sum                  | 100.9     |
| Loss sum                    | -1013.0   |
| Fee sum                     | -3.603    |
| Biggest pos size            | 293.4     |
| Biggest pos cost            | 539.4     |
| Volume quote                | 35532.5   |
+-----------------------------+-----------+
