+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 676.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0823%   |
| Final balance               | 1658.43   |
| Final equity                | 1650.74   |
| Net PNL + fees              | 658.432   |
| Total gain                  | 75.06%    |
| Average daily gain          | 0.0972%   |
| DG mean std ratio           | 0.04522   |
| Price action distance mean  | 0.0384751 |
| Price action distance std   | 0.0620052 |
| Price action distance max   | 0.960795  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.5541    |
| Equity/balance ratio std    | 0.03804   |
| No. fills                   | 33305     |
| No. entries                 | 20163     |
| No. closes                  | 13142     |
| No. initial entries         | 12046     |
| No. reentries               | 8066      |
| No. unstuck entries         | 51        |
| No. unstuck closes          | 786       |
| No. normal closes           | 12356     |
| Average n fills per day     | 49.2      |
| Mean hours stuck            | 1.1386    |
| Max hours stuck             | 468.65    |
| PNL sum                     | 750.6     |
| Profit sum                  | 2304.0    |
| Loss sum                    | -1554.0   |
| Fee sum                     | -92.16    |
| Biggest pos size            | 543.0     |
| Biggest pos cost            | 2304.0    |
| Volume quote                | 921562.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -22.2%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -939.585  |
| Total gain                  | -93.87%   |
| Average daily gain          | -0.678%   |
| DG mean std ratio           | 0.001319  |
| Price action distance mean  | 0.506769  |
| Price action distance std   | 0.36072   |
| Price action distance max   | 0.912202  |
| Closest bankruptcy          | 5.747%    |
| Lowest equity/balance ratio | 0.06319   |
| Equity/balance ratio std    | 0.2122    |
| No. fills                   | 3986      |
| No. entries                 | 2346      |
| No. closes                  | 1639      |
| No. initial entries         | 1630      |
| No. reentries               | 715       |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 8         |
| No. normal closes           | 1631      |
| Average n fills per day     | 5.89      |
| Mean hours stuck            | 10.2987   |
| Max hours stuck             | 8179.87   |
| PNL sum                     | -938.7    |
| Profit sum                  | 21.82     |
| Loss sum                    | -960.5    |
| Fee sum                     | -0.8759   |
| Biggest pos size            | 53.1      |
| Biggest pos cost            | 92.62     |
| Volume quote                | 8667.23   |
+-----------------------------+-----------+
