+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 638.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.255%    |
| Final balance               | 2257.38   |
| Final equity                | 2256.09   |
| Net PNL + fees              | 1257.38   |
| Total gain                  | 142.3%    |
| Average daily gain          | 0.131%    |
| DG mean std ratio           | 0.1479    |
| Price action distance mean  | 0.0150993 |
| Price action distance std   | 0.022627  |
| Price action distance max   | 0.430136  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8496    |
| Equity/balance ratio std    | 0.006817  |
| No. fills                   | 87190     |
| No. entries                 | 47442     |
| No. closes                  | 39748     |
| No. initial entries         | 37835     |
| No. reentries               | 9527      |
| No. unstuck entries         | 80        |
| No. unstuck closes          | 1549      |
| No. normal closes           | 38199     |
| Average n fills per day     | 137.0     |
| Mean hours stuck            | 0.695192  |
| Max hours stuck             | 90.4      |
| PNL sum                     | 1423.0    |
| Profit sum                  | 2110.0    |
| Loss sum                    | -686.9    |
| Fee sum                     | -165.9    |
| Biggest pos size            | 29295.0   |
| Biggest pos cost            | 1103.0    |
| Volume quote                | 1658920.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.28%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -901.695  |
| Total gain                  | -89.61%   |
| Average daily gain          | -0.718%   |
| DG mean std ratio           | -0.04868  |
| Price action distance mean  | 0.071076  |
| Price action distance std   | 0.137335  |
| Price action distance max   | 0.647037  |
| Closest bankruptcy          | 5.991%    |
| Lowest equity/balance ratio | 0.08711   |
| Equity/balance ratio std    | 0.07201   |
| No. fills                   | 5490      |
| No. entries                 | 3306      |
| No. closes                  | 2183      |
| No. initial entries         | 2135      |
| No. reentries               | 1171      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 11        |
| No. normal closes           | 2172      |
| Average n fills per day     | 8.6       |
| Mean hours stuck            | 3.76541   |
| Max hours stuck             | 10429.4   |
| PNL sum                     | -896.1    |
| Profit sum                  | 169.0     |
| Loss sum                    | -1065.0   |
| Fee sum                     | -5.549    |
| Biggest pos size            | 32048.0   |
| Biggest pos cost            | 582.3     |
| Volume quote                | 54913.7   |
+-----------------------------+-----------+
