+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOGEUSDT  |
| No. days                    | 742.625   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.212%    |
| Final balance               | 4181.15   |
| Final equity                | 4176.04   |
| Net PNL + fees              | 3181.15   |
| Total gain                  | 322.3%    |
| Average daily gain          | 0.198%    |
| DG mean std ratio           | 0.1836    |
| Price action distance mean  | 0.0190926 |
| Price action distance std   | 0.0206921 |
| Price action distance max   | 0.473606  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7078    |
| Equity/balance ratio std    | 0.01561   |
| No. fills                   | 5681      |
| No. entries                 | 3314      |
| No. closes                  | 2367      |
| No. initial entries         | 1658      |
| No. reentries               | 1656      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 2367      |
| Average n fills per day     | 7.65      |
| Mean hours stuck            | 4.35877   |
| Max hours stuck             | 828.883   |
| PNL sum                     | 3223.0    |
| Profit sum                  | 3223.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -41.97    |
| Biggest pos size            | 344435.0  |
| Biggest pos cost            | 3616.0    |
| Volume quote                | 419658.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -20.3%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -938.123  |
| Total gain                  | -93.79%   |
| Average daily gain          | -0.618%   |
| DG mean std ratio           | -0.05338  |
| Price action distance mean  | 0.125655  |
| Price action distance std   | 0.224551  |
| Price action distance max   | 0.909414  |
| Closest bankruptcy          | 5.898%    |
| Lowest equity/balance ratio | 0.08713   |
| Equity/balance ratio std    | 0.03047   |
| No. fills                   | 453       |
| No. entries                 | 374       |
| No. closes                  | 78        |
| No. initial entries         | 79        |
| No. reentries               | 295       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 78        |
| Average n fills per day     | 0.61      |
| Mean hours stuck            | 63.2021   |
| Max hours stuck             | 12959.7   |
| PNL sum                     | -937.9    |
| Profit sum                  | 18.77     |
| Loss sum                    | -956.7    |
| Fee sum                     | -0.2027   |
| Biggest pos size            | 28002.0   |
| Biggest pos cost            | 92.62     |
| Volume quote                | 1934.0    |
+-----------------------------+-----------+
