+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | AVAXUSDT |
| No. days                    | 667.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.156%   |
| Final balance               | 2569.5   |
| Final equity                | 2076.23  |
| Net PNL + fees              | 1569.5   |
| Total gain                  | 158.0%   |
| Average daily gain          | 0.16%    |
| DG mean std ratio           | 0.05064  |
| Price action distance mean  | 0.485593 |
| Price action distance std   | 0.337052 |
| Price action distance max   | 1.62544  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.437    |
| Equity/balance ratio std    | 0.1395   |
| No. fills                   | 721      |
| No. entries                 | 294      |
| No. closes                  | 427      |
| No. initial entries         | 41       |
| No. reentries               | 243      |
| No. unstuck entries         | 10       |
| No. unstuck closes          | 143      |
| No. normal closes           | 284      |
| Average n fills per day     | 1.08     |
| Mean hours stuck            | 42.1711  |
| Max hours stuck             | 1680.57  |
| PNL sum                     | 1580.0   |
| Profit sum                  | 2920.0   |
| Loss sum                    | -1340.0  |
| Fee sum                     | -10.63   |
| Biggest pos size            | 180.2    |
| Biggest pos cost            | 3404.0   |
| Volume quote                | 106314.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0509%  |
| Final balance               | 1031.35  |
| Final equity                | 965.299  |
| Net PNL + fees              | 31.3478  |
| Total gain                  | 3.166%   |
| Average daily gain          | 0.0924%  |
| DG mean std ratio           | 0.02073  |
| Price action distance mean  | 0.564945 |
| Price action distance std   | 0.331001 |
| Price action distance max   | 0.906829 |
| Closest bankruptcy          | 15.62%   |
| Lowest equity/balance ratio | 0.1528   |
| Equity/balance ratio std    | 0.214    |
| No. fills                   | 674      |
| No. entries                 | 424      |
| No. closes                  | 250      |
| No. initial entries         | 197      |
| No. reentries               | 216      |
| No. unstuck entries         | 11       |
| No. unstuck closes          | 30       |
| No. normal closes           | 220      |
| Average n fills per day     | 1.01     |
| Mean hours stuck            | 25.0782  |
| Max hours stuck             | 8222.02  |
| PNL sum                     | 31.66    |
| Profit sum                  | 39.95    |
| Loss sum                    | -8.282   |
| Fee sum                     | -0.3155  |
| Biggest pos size            | 13.2     |
| Biggest pos cost            | 94.88    |
| Volume quote                | 3155.21  |
+-----------------------------+----------+
