+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | UNIUSDT   |
| No. days                    | 672.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.172%    |
| Final balance               | 1784.65   |
| Final equity                | 1756.48   |
| Net PNL + fees              | 784.655   |
| Total gain                  | 79.71%    |
| Average daily gain          | 0.0981%   |
| DG mean std ratio           | 0.05405   |
| Price action distance mean  | 0.130867  |
| Price action distance std   | 0.213822  |
| Price action distance max   | 1.57298   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.6947    |
| Equity/balance ratio std    | 0.06148   |
| No. fills                   | 8141      |
| No. entries                 | 6836      |
| No. closes                  | 1305      |
| No. initial entries         | 1158      |
| No. reentries               | 5671      |
| No. unstuck entries         | 7         |
| No. unstuck closes          | 107       |
| No. normal closes           | 1198      |
| Average n fills per day     | 12.1      |
| Mean hours stuck            | 2.83893   |
| Max hours stuck             | 1099.63   |
| PNL sum                     | 797.1     |
| Profit sum                  | 978.1     |
| Loss sum                    | -181.0    |
| Fee sum                     | -12.41    |
| Biggest pos size            | 143.3     |
| Biggest pos cost            | 930.8     |
| Volume quote                | 124125.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.07%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -910.047  |
| Total gain                  | -90.9%    |
| Average daily gain          | -0.682%   |
| DG mean std ratio           | -0.05488  |
| Price action distance mean  | 0.0914776 |
| Price action distance std   | 0.142394  |
| Price action distance max   | 0.645992  |
| Closest bankruptcy          | 5.956%    |
| Lowest equity/balance ratio | 0.08784   |
| Equity/balance ratio std    | 0.06913   |
| No. fills                   | 879       |
| No. entries                 | 529       |
| No. closes                  | 349       |
| No. initial entries         | 346       |
| No. reentries               | 183       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 2         |
| No. normal closes           | 347       |
| Average n fills per day     | 1.31      |
| Mean hours stuck            | 43.7534   |
| Max hours stuck             | 13056.4   |
| PNL sum                     | -909.0    |
| Profit sum                  | 68.7      |
| Loss sum                    | -977.7    |
| Fee sum                     | -1.025    |
| Biggest pos size            | 209.7     |
| Biggest pos cost            | 533.7     |
| Volume quote                | 9717.21   |
+-----------------------------+-----------+
