+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | TRXUSDT   |
| No. days                    | 919.663   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.104%    |
| Final balance               | 2393.45   |
| Final equity                | 2392.17   |
| Net PNL + fees              | 1393.45   |
| Total gain                  | 152.1%    |
| Average daily gain          | 0.138%    |
| DG mean std ratio           | 0.04887   |
| Price action distance mean  | 0.055232  |
| Price action distance std   | 0.118593  |
| Price action distance max   | 1.75241   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4224    |
| Equity/balance ratio std    | 0.07427   |
| No. fills                   | 115385    |
| No. entries                 | 18398     |
| No. closes                  | 96987     |
| No. initial entries         | 12334     |
| No. reentries               | 5773      |
| No. unstuck entries         | 291       |
| No. unstuck closes          | 83719     |
| No. normal closes           | 13268     |
| Average n fills per day     | 125.0     |
| Mean hours stuck            | 0.621622  |
| Max hours stuck             | 192.733   |
| PNL sum                     | 1521.0    |
| Profit sum                  | 2598.0    |
| Loss sum                    | -1077.0   |
| Fee sum                     | -127.5    |
| Biggest pos size            | 63140.0   |
| Biggest pos cost            | 2305.0    |
| Volume quote                | 1274910.0 |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | 0.0512%   |
| Final balance               | 1043.77   |
| Final equity                | 1043.77   |
| Net PNL + fees              | 43.7699   |
| Total gain                  | 4.561%    |
| Average daily gain          | 0.00472%  |
| DG mean std ratio           | 0.04216   |
| Price action distance mean  | 0.0243082 |
| Price action distance std   | 0.0191359 |
| Price action distance max   | 0.285895  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.9636    |
| Equity/balance ratio std    | 0.001798  |
| No. fills                   | 11001     |
| No. entries                 | 5934      |
| No. closes                  | 5067      |
| No. initial entries         | 4910      |
| No. reentries               | 1024      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 5067      |
| Average n fills per day     | 12.0      |
| Mean hours stuck            | 7.35731   |
| Max hours stuck             | 278.1     |
| PNL sum                     | 45.61     |
| Profit sum                  | 45.61     |
| Loss sum                    | 0.0       |
| Fee sum                     | -1.845    |
| Biggest pos size            | 7620.0    |
| Biggest pos cost            | 94.53     |
| Volume quote                | 18447.4   |
+-----------------------------+-----------+
