+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | DOTUSDT   |
| No. days                    | 699.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.114%    |
| Final balance               | 1488.46   |
| Final equity                | 1486.64   |
| Net PNL + fees              | 488.464   |
| Total gain                  | 51.39%    |
| Average daily gain          | 0.0609%   |
| DG mean std ratio           | 0.05813   |
| Price action distance mean  | 0.0263717 |
| Price action distance std   | 0.0380931 |
| Price action distance max   | 0.616109  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.8092    |
| Equity/balance ratio std    | 0.01464   |
| No. fills                   | 22651     |
| No. entries                 | 12039     |
| No. closes                  | 10612     |
| No. initial entries         | 10527     |
| No. reentries               | 1510      |
| No. unstuck entries         | 2         |
| No. unstuck closes          | 17        |
| No. normal closes           | 10595     |
| Average n fills per day     | 32.4      |
| Mean hours stuck            | 4.52886   |
| Max hours stuck             | 368.633   |
| PNL sum                     | 513.9     |
| Profit sum                  | 518.6     |
| Loss sum                    | -4.684    |
| Fee sum                     | -25.42    |
| Biggest pos size            | 75.3      |
| Biggest pos cost            | 721.1     |
| Volume quote                | 254157.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -3.91%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -913.587  |
| Total gain                  | -91.19%   |
| Average daily gain          | -0.656%   |
| DG mean std ratio           | -0.04577  |
| Price action distance mean  | 0.0598616 |
| Price action distance std   | 0.108363  |
| Price action distance max   | 0.644394  |
| Closest bankruptcy          | 5.902%    |
| Lowest equity/balance ratio | 0.09393   |
| Equity/balance ratio std    | 0.04752   |
| No. fills                   | 1858      |
| No. entries                 | 998       |
| No. closes                  | 859       |
| No. initial entries         | 845       |
| No. reentries               | 152       |
| No. unstuck entries         | 1         |
| No. unstuck closes          | 9         |
| No. normal closes           | 850       |
| Average n fills per day     | 2.66      |
| Mean hours stuck            | 25.9552   |
| Max hours stuck             | 13251.7   |
| PNL sum                     | -911.9    |
| Profit sum                  | 38.16     |
| Loss sum                    | -950.1    |
| Fee sum                     | -1.677    |
| Biggest pos size            | 80.1      |
| Biggest pos cost            | 517.5     |
| Volume quote                | 16255.3   |
+-----------------------------+-----------+
