+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | BNBUSDT   |
| No. days                    | 893.666   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.131%    |
| Final balance               | 2898.63   |
| Final equity                | 2897.4    |
| Net PNL + fees              | 1898.63   |
| Total gain                  | 191.8%    |
| Average daily gain          | 0.148%    |
| DG mean std ratio           | 0.06474   |
| Price action distance mean  | 0.0289386 |
| Price action distance std   | 0.0743273 |
| Price action distance max   | 1.63373   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.4474    |
| Equity/balance ratio std    | 0.04581   |
| No. fills                   | 3199      |
| No. entries                 | 2023      |
| No. closes                  | 1176      |
| No. initial entries         | 922       |
| No. reentries               | 1101      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 1176      |
| Average n fills per day     | 3.58      |
| Mean hours stuck            | 8.3978    |
| Max hours stuck             | 904.85    |
| PNL sum                     | 1918.0    |
| Profit sum                  | 1918.0    |
| Loss sum                    | 0.0       |
| Fee sum                     | -18.96    |
| Biggest pos size            | 56.09     |
| Biggest pos cost            | 2562.0    |
| Volume quote                | 189649.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -16.9%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -935.739  |
| Total gain                  | -93.54%   |
| Average daily gain          | -0.514%   |
| DG mean std ratio           | -0.06721  |
| Price action distance mean  | 0.140278  |
| Price action distance std   | 0.272291  |
| Price action distance max   | 0.911664  |
| Closest bankruptcy          | 5.983%    |
| Lowest equity/balance ratio | 0.06378   |
| Equity/balance ratio std    | 0.108     |
| No. fills                   | 650       |
| No. entries                 | 335       |
| No. closes                  | 314       |
| No. initial entries         | 191       |
| No. reentries               | 144       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 314       |
| Average n fills per day     | 0.727     |
| Mean hours stuck            | 60.7592   |
| Max hours stuck             | 11204.0   |
| PNL sum                     | -935.4    |
| Profit sum                  | 44.15     |
| Loss sum                    | -979.5    |
| Fee sum                     | -0.3561   |
| Biggest pos size            | 7.55      |
| Biggest pos cost            | 94.69     |
| Volume quote                | 3466.67   |
+-----------------------------+-----------+
