+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | UNIUSDT  |
| No. days                    | 672.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.0827%  |
| Final balance               | 1657.83  |
| Final equity                | 483.48   |
| Net PNL + fees              | 657.833  |
| Total gain                  | 69.03%   |
| Average daily gain          | 0.0165%  |
| DG mean std ratio           | 0.003261 |
| Price action distance mean  | 1.28054  |
| Price action distance std   | 1.66164  |
| Price action distance max   | 8.72412  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.1936   |
| Equity/balance ratio std    | 0.2518   |
| No. fills                   | 13028    |
| No. entries                 | 7993     |
| No. closes                  | 5035     |
| No. initial entries         | 4601     |
| No. reentries               | 3392     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 5035     |
| Average n fills per day     | 19.4     |
| Mean hours stuck            | 2.68949  |
| Max hours stuck             | 10308.7  |
| PNL sum                     | 690.3    |
| Profit sum                  | 690.3    |
| Loss sum                    | 0.0      |
| Fee sum                     | -32.51   |
| Biggest pos size            | 191.5    |
| Biggest pos cost            | 1490.0   |
| Volume quote                | 325092.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | -0.176%  |
| Final balance               | 897.924  |
| Final equity                | 897.923  |
| Net PNL + fees              | -102.076 |
| Total gain                  | -9.934%  |
| Average daily gain          | -0.0143% |
| DG mean std ratio           | -0.02442 |
| Price action distance mean  | 0.106087 |
| Price action distance std   | 0.171911 |
| Price action distance max   | 0.626565 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.8469   |
| Equity/balance ratio std    | 0.03145  |
| No. fills                   | 17258    |
| No. entries                 | 9453     |
| No. closes                  | 7805     |
| No. initial entries         | 7772     |
| No. reentries               | 1670     |
| No. unstuck entries         | 11       |
| No. unstuck closes          | 30       |
| No. normal closes           | 7775     |
| Average n fills per day     | 25.7     |
| Mean hours stuck            | 3.06939  |
| Max hours stuck             | 537.05   |
| PNL sum                     | -99.34   |
| Profit sum                  | 34.55    |
| Loss sum                    | -133.9   |
| Fee sum                     | -2.733   |
| Biggest pos size            | 11.9     |
| Biggest pos cost            | 96.87    |
| Volume quote                | 27329.1  |
+-----------------------------+----------+
