+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 667.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0848%   |
| Final balance               | 1327.33   |
| Final equity                | 1325.63   |
| Net PNL + fees              | 327.327   |
| Total gain                  | 35.64%    |
| Average daily gain          | 0.0491%   |
| DG mean std ratio           | 0.04136   |
| Price action distance mean  | 0.066769  |
| Price action distance std   | 0.155847  |
| Price action distance max   | 1.32078   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7152    |
| Equity/balance ratio std    | 0.04694   |
| No. fills                   | 25533     |
| No. entries                 | 14291     |
| No. closes                  | 11242     |
| No. initial entries         | 10393     |
| No. reentries               | 3880      |
| No. unstuck entries         | 18        |
| No. unstuck closes          | 55        |
| No. normal closes           | 11187     |
| Average n fills per day     | 38.2      |
| Mean hours stuck            | 1.9762    |
| Max hours stuck             | 578.283   |
| PNL sum                     | 356.4     |
| Profit sum                  | 763.6     |
| Loss sum                    | -407.3    |
| Fee sum                     | -29.05    |
| Biggest pos size            | 78.2      |
| Biggest pos cost            | 866.2     |
| Volume quote                | 290478.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.1%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -892.416  |
| Total gain                  | -88.26%   |
| Average daily gain          | -0.687%   |
| DG mean std ratio           | -0.05147  |
| Price action distance mean  | 0.0424238 |
| Price action distance std   | 0.0551572 |
| Price action distance max   | 0.645034  |
| Closest bankruptcy          | 5.961%    |
| Lowest equity/balance ratio | 0.09523   |
| Equity/balance ratio std    | 0.03388   |
| No. fills                   | 11131     |
| No. entries                 | 7223      |
| No. closes                  | 3907      |
| No. initial entries         | 3789      |
| No. reentries               | 3434      |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 0         |
| No. normal closes           | 3907      |
| Average n fills per day     | 16.7      |
| Mean hours stuck            | 3.1739    |
| Max hours stuck             | 8054.78   |
| PNL sum                     | -882.6    |
| Profit sum                  | 287.3     |
| Loss sum                    | -1170.0   |
| Fee sum                     | -9.818    |
| Biggest pos size            | 118.3     |
| Biggest pos cost            | 636.1     |
| Volume quote                | 97545.9   |
+-----------------------------+-----------+
