+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | MATICUSDT |
| No. days                    | 638.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.119%    |
| Final balance               | 1463.32   |
| Final equity                | 1461.06   |
| Net PNL + fees              | 463.316   |
| Total gain                  | 49.45%    |
| Average daily gain          | 0.0665%   |
| DG mean std ratio           | 0.05581   |
| Price action distance mean  | 0.0726107 |
| Price action distance std   | 0.17635   |
| Price action distance max   | 1.338     |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7164    |
| Equity/balance ratio std    | 0.05063   |
| No. fills                   | 26840     |
| No. entries                 | 14908     |
| No. closes                  | 11932     |
| No. initial entries         | 10738     |
| No. reentries               | 4155      |
| No. unstuck entries         | 15        |
| No. unstuck closes          | 117       |
| No. normal closes           | 11815     |
| Average n fills per day     | 42.0      |
| Mean hours stuck            | 1.53905   |
| Max hours stuck             | 262.55    |
| PNL sum                     | 494.5     |
| Profit sum                  | 843.4     |
| Loss sum                    | -348.9    |
| Fee sum                     | -31.2     |
| Biggest pos size            | 29001.0   |
| Biggest pos cost            | 891.1     |
| Volume quote                | 311961.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.28%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -914.18   |
| Total gain                  | -91.24%   |
| Average daily gain          | -0.718%   |
| DG mean std ratio           | -0.06302  |
| Price action distance mean  | 0.0759519 |
| Price action distance std   | 0.117961  |
| Price action distance max   | 0.658643  |
| Closest bankruptcy          | 5.937%    |
| Lowest equity/balance ratio | 0.09234   |
| Equity/balance ratio std    | 0.05053   |
| No. fills                   | 1799      |
| No. entries                 | 1233      |
| No. closes                  | 565       |
| No. initial entries         | 544       |
| No. reentries               | 689       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 19        |
| No. normal closes           | 546       |
| Average n fills per day     | 2.82      |
| Mean hours stuck            | 12.2828   |
| Max hours stuck             | 12422.8   |
| PNL sum                     | -912.4    |
| Profit sum                  | 73.61     |
| Loss sum                    | -986.0    |
| Fee sum                     | -1.824    |
| Biggest pos size            | 19152.0   |
| Biggest pos cost            | 535.9     |
| Volume quote                | 17754.4   |
+-----------------------------+-----------+
