+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | SOLUSDT   |
| No. days                    | 676.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.172%    |
| Final balance               | 1788.91   |
| Final equity                | 1785.21   |
| Net PNL + fees              | 788.912   |
| Total gain                  | 82.71%    |
| Average daily gain          | 0.0916%   |
| DG mean std ratio           | 0.08458   |
| Price action distance mean  | 0.0817857 |
| Price action distance std   | 0.143389  |
| Price action distance max   | 0.823691  |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.774     |
| Equity/balance ratio std    | 0.04545   |
| No. fills                   | 29516     |
| No. entries                 | 20671     |
| No. closes                  | 8845      |
| No. initial entries         | 8816      |
| No. reentries               | 11850     |
| No. unstuck entries         | 5         |
| No. unstuck closes          | 14        |
| No. normal closes           | 8831      |
| Average n fills per day     | 43.6      |
| Mean hours stuck            | 1.03098   |
| Max hours stuck             | 870.65    |
| PNL sum                     | 827.1     |
| Profit sum                  | 976.3     |
| Loss sum                    | -149.2    |
| Fee sum                     | -38.17    |
| Biggest pos size            | 411.5     |
| Biggest pos cost            | 895.8     |
| Volume quote                | 381652.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.04%    |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -906.594  |
| Total gain                  | -90.26%   |
| Average daily gain          | -0.678%   |
| DG mean std ratio           | -0.04495  |
| Price action distance mean  | 0.108836  |
| Price action distance std   | 0.14313   |
| Price action distance max   | 0.645362  |
| Closest bankruptcy          | 5.895%    |
| Lowest equity/balance ratio | 0.0916    |
| Equity/balance ratio std    | 0.06618   |
| No. fills                   | 3151      |
| No. entries                 | 1923      |
| No. closes                  | 1227      |
| No. initial entries         | 1201      |
| No. reentries               | 722       |
| No. unstuck entries         | 0         |
| No. unstuck closes          | 18        |
| No. normal closes           | 1209      |
| Average n fills per day     | 4.66      |
| Mean hours stuck            | 8.59312   |
| Max hours stuck             | 12360.2   |
| PNL sum                     | -902.6    |
| Profit sum                  | 124.6     |
| Loss sum                    | -1027.0   |
| Fee sum                     | -3.988    |
| Biggest pos size            | 306.4     |
| Biggest pos cost            | 561.1     |
| Volume quote                | 39323.2   |
+-----------------------------+-----------+
