+-----------------------------------------+
|                 Summary                 |
+-----------------------------+-----------+
| Metric                      | Value     |
+-----------------------------+-----------+
| Exchange                    | binance   |
| Market type                 | futures   |
| Symbol                      | AVAXUSDT  |
| No. days                    | 667.708   |
| Starting balance            | 1000.0    |
|                             |           |
| Long                        | True      |
| ADG realized per exposure   | 0.0637%   |
| Final balance               | 1236.81   |
| Final equity                | 1233.64   |
| Net PNL + fees              | 236.811   |
| Total gain                  | 30.29%    |
| Average daily gain          | 0.0402%   |
| DG mean std ratio           | 0.03077   |
| Price action distance mean  | 0.0325573 |
| Price action distance std   | 0.0602252 |
| Price action distance max   | 1.14715   |
| Closest bankruptcy          | 100.0%    |
| Lowest equity/balance ratio | 0.7331    |
| Equity/balance ratio std    | 0.01926   |
| No. fills                   | 52044     |
| No. entries                 | 31361     |
| No. closes                  | 20683     |
| No. initial entries         | 20166     |
| No. reentries               | 11121     |
| No. unstuck entries         | 74        |
| No. unstuck closes          | 296       |
| No. normal closes           | 20387     |
| Average n fills per day     | 77.9      |
| Mean hours stuck            | 0.77829   |
| Max hours stuck             | 335.85    |
| PNL sum                     | 302.9     |
| Profit sum                  | 1076.0    |
| Loss sum                    | -773.4    |
| Fee sum                     | -66.06    |
| Biggest pos size            | 97.5      |
| Biggest pos cost            | 783.8     |
| Volume quote                | 660562.0  |
|                             |           |
| Short                       | True      |
| ADG realized per exposure   | -4.1%     |
| Final balance               | 0.001     |
| Final equity                | 0.001     |
| Net PNL + fees              | -902.986  |
| Total gain                  | -89.07%   |
| Average daily gain          | -0.687%   |
| DG mean std ratio           | -0.06719  |
| Price action distance mean  | 0.0434629 |
| Price action distance std   | 0.0707298 |
| Price action distance max   | 0.644885  |
| Closest bankruptcy          | 5.984%    |
| Lowest equity/balance ratio | 0.09265   |
| Equity/balance ratio std    | 0.05031   |
| No. fills                   | 14967     |
| No. entries                 | 7742      |
| No. closes                  | 7224      |
| No. initial entries         | 7217      |
| No. reentries               | 522       |
| No. unstuck entries         | 3         |
| No. unstuck closes          | 8         |
| No. normal closes           | 7216      |
| Average n fills per day     | 22.4      |
| Mean hours stuck            | 9.70624   |
| Max hours stuck             | 8082.77   |
| PNL sum                     | -890.7    |
| Profit sum                  | 174.1     |
| Loss sum                    | -1065.0   |
| Fee sum                     | -12.26    |
| Biggest pos size            | 68.0      |
| Biggest pos cost            | 572.8     |
| Volume quote                | 122030.0  |
+-----------------------------+-----------+
