+----------------------------------------+
|                Summary                 |
+-----------------------------+----------+
| Metric                      | Value    |
+-----------------------------+----------+
| Exchange                    | binance  |
| Market type                 | futures  |
| Symbol                      | UNIUSDT  |
| No. days                    | 672.708  |
| Starting balance            | 1000.0   |
|                             |          |
| Long                        | True     |
| ADG realized per exposure   | 0.13%    |
| Final balance               | 2209.16  |
| Final equity                | 1233.24  |
| Net PNL + fees              | 1209.16  |
| Total gain                  | 124.8%   |
| Average daily gain          | 0.0685%  |
| DG mean std ratio           | 0.02452  |
| Price action distance mean  | 0.254466 |
| Price action distance std   | 0.517043 |
| Price action distance max   | 3.01192  |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.318    |
| Equity/balance ratio std    | 0.1849   |
| No. fills                   | 15834    |
| No. entries                 | 9130     |
| No. closes                  | 6704     |
| No. initial entries         | 6028     |
| No. reentries               | 3102     |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 6704     |
| Average n fills per day     | 23.5     |
| Mean hours stuck            | 2.90117  |
| Max hours stuck             | 4362.48  |
| PNL sum                     | 1248.0   |
| Profit sum                  | 1248.0   |
| Loss sum                    | 0.0      |
| Fee sum                     | -39.31   |
| Biggest pos size            | 336.7    |
| Biggest pos cost            | 2007.0   |
| Volume quote                | 393129.0 |
|                             |          |
| Short                       | True     |
| ADG realized per exposure   | 0.0336%  |
| Final balance               | 1020.77  |
| Final equity                | 1020.77  |
| Net PNL + fees              | 20.7692  |
| Total gain                  | 2.181%   |
| Average daily gain          | 0.0138%  |
| DG mean std ratio           | 0.009386 |
| Price action distance mean  | 0.322639 |
| Price action distance std   | 0.285796 |
| Price action distance max   | 0.784701 |
| Closest bankruptcy          | 100.0%   |
| Lowest equity/balance ratio | 0.6683   |
| Equity/balance ratio std    | 0.0823   |
| No. fills                   | 8200     |
| No. entries                 | 4535     |
| No. closes                  | 3665     |
| No. initial entries         | 3599     |
| No. reentries               | 936      |
| No. unstuck entries         | 0        |
| No. unstuck closes          | 0        |
| No. normal closes           | 3665     |
| Average n fills per day     | 12.2     |
| Mean hours stuck            | 7.26925  |
| Max hours stuck             | 8768.68  |
| PNL sum                     | 21.81    |
| Profit sum                  | 21.81    |
| Loss sum                    | 0.0      |
| Fee sum                     | -1.039   |
| Biggest pos size            | 32.1     |
| Biggest pos cost            | 93.5     |
| Volume quote                | 10390.9  |
+-----------------------------+----------+
